S.No,Question,Options,Answer,Explanation,Subject,Sub-Topic
26,"The term ""Levant"" often heard in the news roughly corresponds to
which of the following regions?","(a) Region along the eastern Mediterranean shores
(b) Region along North African shores stretching from Egypt to Morocco
(c) Region along Persian Gulf and Horn of Africa
(d) The entire coastal areas of Mediterranean Sea",A,"Direct Answer: The ""Levant"" is an approximate historical geographical
term referring to a large area in the Eastern Mediterranean region of
Western Asia.

Countries Included: In its narrowest sense, it encompasses modern-day
Syria, Lebanon, Jordan, Israel, Palestine, and most of Cyprus. It forms
the eastern shore of the Mediterranean Sea.

Etymology: The word derives from the French lever, meaning ""to rise,""
as in where the sun rises (the East, relative to Europe).

Why others are incorrect: * Option (b) describes the region primarily
known as the Maghreb (Northwest Africa).

Option (c) is a mix of Middle-eastern and East African geographies, not
referred to as the Levant.

News Context: The term was widely popularized globally due to the
terrorist organization ISIL (Islamic State of Iraq and the Levant),
which sought to establish a caliphate across this entire region.",Geography,Political Geography
27,"Consider the following countries:

1. Azerbaijan

2. Kyrgyzstan

3. Tajikistan

4. Turkmenistan

5. Uzbekistan

Which of the above have borders with Afghanistan?","(a) 1, 2 and 5 only
(b) 1, 2, 3 and 4 only
(c) 3, 4 and 5 only
(d) 1, 2, 3, 4 and 5",C,"Direct Answer: Afghanistan shares its borders with Pakistan (East and
South), Iran (West), Turkmenistan, Uzbekistan, and Tajikistan (North),
and China (Northeast via the Wakhan corridor).

Process of Elimination:

Azerbaijan (1) is situated in the Caucasus region, west of the Caspian
Sea. It is completely isolated from Afghanistan. Eliminating 1 removes
options (a), (b), and (d) immediately.

Kyrgyzstan (2) is north of Tajikistan. Tajikistan acts as a geographical
wedge between Kyrgyzstan and Afghanistan, so they do not touch.

Tajikistan (3), Turkmenistan (4), and Uzbekistan (5) form the northern
land border of Afghanistan.

Conclusion: The correct grouping is 3, 4, and 5. Therefore, option (c)
is the correct answer.",Geography,World Mapping
28,"With reference to India, consider the following statements:

1. Monazite is a source of rare earths.

2. Monazite contains thorium.

3. Monazite occurs naturally in the entire Indian coastal sands in
India.

4. In India, Government bodies only can process or export monazite.

Which of the statements given above are correct?","(a) 1, 2 and 3 only
(b) 1, 2 and 4 only
(c) 3 and 4 only
(d) 1, 2, 3 and 4",B,"Statement 1 is Correct: Monazite is a reddish-brown phosphate mineral
containing rare-earth metals (REEs) such as cerium, lanthanum, and
yttrium. It is one of the primary commercial sources of rare earths
globally.

Statement 2 is Correct: Monazite is highly radioactive because it
contains significant amounts of Thorium (usually 4% to 9%), a
radioactive element. India's vast thorium reserves, critical for the
3rd stage of its nuclear power program, are housed primarily in monazite
sands.

Statement 3 is Incorrect: Beware of extreme generalizations like
""entire"". Monazite beach sand deposits are highly concentrated in
specific regions---primarily the coasts of Kerala, Tamil Nadu, Andhra
Pradesh, and Odisha. It does not occur uniformly across the entire 7500+
km coastline of India.

Statement 4 is Correct: Because of its radioactive thorium content,
monazite is classified as a ""prescribed substance"" under the Atomic
Energy Act, 1962. Only state-owned enterprises---specifically Indian
Rare Earths Limited (IREL)---are permitted by the Department of Atomic
Energy (DAE) to mine, process, or export monazite.

Conclusion: Statements 1, 2, and 4 are correct.",Geography,Mineral Resources
29,"In the northern hemisphere, the longest day of the year normally
occurs in the:","(a) First half of the month of June
(b) Second half of the month of June
(c) First half of the month of July
(d) Second half of the month of July",B,"Direct Answer: The longest day of the year in the northern hemisphere is
known as the Summer Solstice, which typically falls on June 20th or
21st.

Core Concept: * Earth's axis is tilted at an angle of 23.5 degrees
relative to its orbital plane.

During the summer solstice, the North Pole points directly toward the
Sun, and the Sun's rays fall directly overhead on the Tropic of Cancer
(23.5° N latitude).

This geometric alignment results in the northern hemisphere receiving
the maximum hours of daylight for the year.

Evaluating Options: Since June 2021 falls after the 15th of the month,
it clearly occurs in the second half of the month of June. Hence, option
(b) is correct.",Geography,Physical geography
30,"Consider the following pairs:

    WetlandLake                 Location 

 1. Hokera Wetland          Punjab 

 2. Renuka Wetland         Himachal Pradesh 

 3. Rudrasagar Lake       Tripura 

 4. Sasthamkotta Lake    Tamil Nadu 

How many pairs given above are correctly matched ?","(a) Only one pair
(b) Only two pairs
(c) Only three pairs
(d) All four pairs",B,"This question tests knowledge of India's Ramsar Sites.

Pair 1 is Incorrect: Hokera Wetland (also known as Hokersar) is a
designated Ramsar site located in the Union Territory of Jammu and
Kashmir, not Punjab. (Punjab's famous wetlands include Harike, Kanjli,
Ropar).

Pair 2 is Correct: Renuka Wetland is a natural wetland situated in the
Sirmaur district of Himachal Pradesh.

Pair 3 is Correct: Rudrasagar Lake is a wetland of national importance
located in the state of Tripura.

Pair 4 is Incorrect: Sasthamkotta Lake is the largest freshwater lake in
Kerala, not Tamil Nadu.

Conclusion: Only two pairs (Renuka and Rudrasagar) are correctly
matched, making (b) the right answer.

Gemini said",Geography,Mapping India
31,"Consider the following:

1. Aarogya Setu

2. COWIN

3. DigiLocker

4. DIKSHA

Which of the above are built on top of open-source digital
platforms?","(a) 1 and 2 only
(b) 2, 3 and 4 only
(c) 1, 3 and 4 only
(d) 1, 2, 3 and 4",D,"Direct Answer: All four platforms are built on top of open-source
digital platforms.

Core Concept: ""Open-source"" refers to software where the original
source code is made freely available and may be redistributed and
modified. The Government of India strongly advocates the use of
open-source software to build Digital Public Infrastructure (DPI) to
ensure transparency, cost-effectiveness, and scalability.

Breakdown:

Aarogya Setu: India's COVID-19 contact tracing app. The government made
its source code open to the public in mid-2020 to build trust regarding
privacy.

CoWIN: The technological backbone of India's vaccination drive. It is
an open-source platform that India has shared with multiple other
countries globally as a digital public good.

DigiLocker: A flagship initiative under Digital India for paperless
governance, built using open-source technologies.

DIKSHA: The national platform for school education. It is built on
MIT-licensed open-source technology called 'Sunbird' (developed by the
EkStep Foundation).

Conclusion: Option (d) is the correct choice.",Science and Tech,Digital infrastructure
32,"With reference to Web 3.0, consider the following statements:

1. Web 3.0 technology enables people to control their own data.

2. In Web 3.0 world, there can be blockchain based social networks.

3. Web 3.0 is operated by users collectively rather than a corporation.

Which of the statements given above are correct?","(a) 1 and 2 only
(b) 2 and 3 only
(c) 1 and 3 only
(d) 1, 2 and 3",D,"Context (The Evolution of the Web): * Web 1.0 (1990s): The
""Read-Only"" web (static HTML pages).

Web 2.0 (2000s-Present): The ""Read-Write"" web (Social Media,
User-Generated Content). Dominated by centralized tech giants (Google,
Meta, Amazon) who own and monetize user data.

Web 3.0 (Future): The ""Read-Write-Own"" web. It represents the
decentralized internet powered by blockchain technology.

Statement 1 is Correct: A core philosophy of Web 3.0 is data
sovereignty. Instead of giving up personal data to centralized servers,
users retain complete ownership and cryptographic control of their own
data.

Statement 2 is Correct: Since the architecture is built on decentralized
ledgers (blockchains), social networks can be hosted purely on the
blockchain. These are resistant to censorship and single-point failures.

Statement 3 is Correct: Instead of being run by a single corporate
entity (like Twitter or Facebook), Web 3.0 platforms are typically
governed by Decentralized Autonomous Organizations (DAOs). They are
operated and maintained collectively by users using token-based
economics.

Conclusion: All statements are accurate representations of Web 3.0
concepts.",Science and Tech,Information Technology
33,"With reference to ""Software as a Service (SaaS)"", consider the
following statements:

1. SaaS buyers can customise the user interface and can change data
fields.

2. SaaS users can access their data through their mobile devices.

3. Outlook, Hotmail and Yahoo! Mail are forms of SaaS.

Which of the statements given above are correct?","(a) 1 and 2 only
(b) 2 and 3 only
(c) 1 and 3 only
(d) 1, 2 and 3",D,"Core Concept: SaaS (Software as a Service) is a software distribution
model where a cloud provider hosts applications and makes them available
to end-users over the internet. You do not need to install or maintain
the software locally.

Statement 1 is Correct: While the underlying code of a SaaS application
is identical for all customers, it is designed to be highly
configurable. Buyers (especially B2B clients like those using
Salesforce, Slack, or ERPs) can heavily customize the User Interface
(UI), dashboards, and modify data fields to suit their specific business
workflows.

Statement 2 is Correct: The defining feature of SaaS is remote
accessibility. Because the data and the software are hosted in the
cloud, users can access them seamlessly across various devices,
including mobile phones and tablets, simply via a web browser or a
mobile app.

Statement 3 is Correct: Cloud-based webmail services such as Microsoft
Outlook (web version), Hotmail, Gmail, and Yahoo! Mail are textbook
examples of SaaS. The email provider hosts the software and your emails
on their servers, and you consume it as a service over the web.

Conclusion: All statements are correct.",Science and Tech,Information Technology
34,"Which one of the following statements best reflects the idea behind
the ""Fractional Orbital Bombardment System"" often talked about in
media?","(a) A hypersonic missile is launched into space to counter the
(b) A spacecraft lands on another planet after making several orbital motions.
(c) A missile is put into a stable orbit around the Earth and deorbits over a target on the Earth.
(d) A spacecraft moves along a comet with the same speed and places a probe on its surface.",C,"Direct Answer: The Fractional Orbital Bombardment System (FOBS) is a
warhead delivery system that uses a low Earth orbit towards its target
destination, de-orbiting before completing a full revolution. Option (c)
is the exact definition.

Context & Mechanism:

Traditional Intercontinental Ballistic Missiles (ICBMs) follow a
predictable sub-orbital ballistic arc. Early Warning Radars are designed
to spot them at the peak of their trajectory.

In FOBS, the warhead goes into a Low Earth Orbit (LEO) and can stay in
orbit until commanded to de-orbit and strike.

It is called ""Fractional"" because it does not complete a full orbit
around the Earth.

Current Relevance: While the Soviet Union originally developed this
concept during the Cold War, the term heavily resurfaced in
international news in late 2021 when it was reported that China had
tested a nuclear-capable hypersonic glide vehicle using a FOBS
trajectory, catching Western intelligence off guard.",Science and Tech,Space Technology
35,"Which one of the following is the context in which the term
""qubit"" is mentioned ?","(a) Cloud Services
(b) Quantum Computing
(c) Visible Light Communication Technologies
(d) Wireless Communication Technologies",B,"Direct Answer: A ""Qubit"" (short for quantum bit) is the basic unit of
information in Quantum Computing.

Understanding the Concept:

In classical computing, the fundamental unit of information is a bit,
which must always exist in one of two binary states: either 0 or 1.

In quantum computing, a qubit can represent a 0, a 1, or any quantum
superposition of these two states simultaneously. This ability to exist
in multiple states at once (Superposition) and to link the state of one
qubit with another no matter the distance (Entanglement) gives quantum
computers their exponentially greater processing power over classical
supercomputers for certain complex problems.

Examples: Google's Sycamore and IBM's Eagle processors operate using
qubits.",Science and Tech,Quantum Computing
36,"Consider the following communication technologies:

1. Closed-circuit Television

2. Radio Frequency Identification

3. Wireless Local Area Network

Which of the above are considered Short-Range devicestechnologies?","(a) 1 and 2 only
(b) 2 and 3 only
(c) 1 and 3 only
(d) 1, 2 and 3",D,"Core Concept: Short-Range Devices (SRD) are radio frequency
transmittersreceivers used in telecommunications for the localized
transmission of information, carrying low risk of interference with
other radio services.

Evaluating the Options:

Statement 1 (CCTV): Closed-circuit television relies on strategic
placement of cameras transmitting private signals to specific, localized
monitors within a limited physical boundary (like a building or a
campus). It is inherently a short-range, localized system.

Statement 2 (RFID): Radio Frequency Identification uses electromagnetic
fields to automatically identify and track tags attached to objects
(e.g., FASTag on cars, ID cards). Their operational range is very short,
spanning a few centimeters to a few meters.

Statement 3 (WLAN): Wireless Local Area Network (most commonly known as
Wi-Fi) connects computers within a limited area such as a home, school,
computer laboratory, or office building.

Conclusion: All three represent localized, short-range communication
technologies.",Science and Tech,Informatin and communication technology
37,"Consider the following statements:

1. Biofilms can form on medical implants within human tissues.

2. Biofilms can form on food and food processing surfaces.

3. Biofilms can exhibit antibiotic resistance.

Which of the statements given above are correct?","(a) 1 and 2 only
(b) 2 and 3 only
(c) 1 and 3 only
(d) 1, 2 and 3",D,"What is a Biofilm? A biofilm is a thick, slimy, protective layer
constructed by communities of microorganisms (like bacteria, fungi) that
stick to each other and adhere to various surfaces. (A common everyday
example is dental plaque).

Statement 1 is Correct: Biofilms are notorious for causing chronic
infections by forming on medical devices implanted in the human body,
such as artificial heart valves, urinary catheters, pacemakers, and
prosthetic joints.

Statement 2 is Correct: They can develop on virtually any moist surface.
In the food industry, biofilms form on raw food items (like meat and
vegetables) as well as stainless steel equipment and food processing
surfaces, leading to foodborne illnesses.

Statement 3 is Correct: The dense, extracellular matrix of a biofilm
acts as a physical barrier. Bacteria residing inside a biofilm are
highly shielded from the host's immune system and display extreme
resistance to antibiotics (sometimes 1,000 times more resistant than
free-floating bacteria of the same species).

Conclusion: All three statements correctly describe the characteristics
and threats of biofilms.",Science and Tech,Biotech
38,"Consider the following statements in respect of probiotics:

1. Probiotics are made of both bacteria and yeast.

2. The organisms in probiotics are found in foods we ingest but they do
not naturally occur in our gut.

3. Probiotics help in the digestion of milk sugars.

Which of the statements given above is/are correct?","(a) 1 only
(b) 2 only
(c) 1 and 3
(d) 2 and 3",C,"What are Probiotics? Probiotics are live microorganisms that, when
administered in adequate amounts, confer a health benefit on the host.
They are the ""good"" microbes.

Statement 1 is Correct: While we commonly associate probiotics with
bacteria (like Lactobacillus and Bifidobacterium), certain strains of
yeast (like Saccharomyces boulardii) are also widely used and prescribed
as highly effective probiotics.

Statement 2 is Incorrect: Probiotics are indeed found in fermented foods
like yogurt, kimchi, and kombucha. However, it is entirely false to say
they do not naturally occur in our gut. In fact, these exact beneficial
microbes make up the natural human microbiome residing in our intestines
from birth.

Statement 3 is Correct: Strains like Lactobacillus produce the enzyme
lactase, which breaks down lactose (the primary sugar found in milk).
Therefore, probiotics actively assist in the digestion of milk sugars,
making them beneficial for individuals with lactose intolerance.

Conclusion: Statements 1 and 3 are correct.",Science and Tech,General Science
39,"In the context of vaccines manufactured to prevent COVID-19
pandemic, consider the following statements:

1. The Serum Institute of India produced COVID-19 vaccine named
Covishield using mRNA platform.

2. Sputnik V vaccine is manufactured using vector based platform.

3. COVAXIN is an inactivated pathogen based vaccine.

Which of the statements given above are correct?","(a) 1 and 2 only
(b) 2 and 3 only
(c) 1 and 3 only
(d) 1, 2 and 3",B,"Statement 1 is Incorrect: Covishield, manufactured by the Serum
Institute of India (developed by Oxford-AstraZeneca), is a Viral Vector
vaccine. It uses a modified, weakened version of a chimpanzee adenovirus
(ChAdOx1). The breakthrough mRNA platform was famously used by
Pfizer-BioNTech and Moderna, not for Covishield.

Statement 2 is Correct: Sputnik V, developed by Russia's Gamaleya
Research Institute, is indeed built on a viral vector-based platform. It
uniquely uses two different human adenoviruses (Ad26 and Ad5) for its
two doses.

Statement 3 is Correct: COVAXIN, developed indigenously by Bharat
Biotech in collaboration with ICMR, uses traditional vaccine technology.
It is an inactivated whole-virion vaccine, meaning it contains the
actual SARS-CoV-2 virus that has been chemically killedinactivated so
it cannot replicate, but can still trigger an immune response.

Conclusion: Statements 2 and 3 are correct.",Science and Tech,General Science
40,"If a major solar storm (solar flare) reaches the Earth, which of
the following are the possible effects on the Earth?

1.  GPS and navigation systems could fail.

2.  Tsunamis could occur at equatorial regions.

3.  Power grids could be damaged.

4.  Intense auroras could occur over much of the Earth.

5.  Forest fires could take place over much of the planet.

6.  Orbits of the satellites could be disturbed.

7.  Shortwave radio communication of the aircraft flying over polar
regions could be interrupted.

Select the correct answer using the code given below:","(a) 1, 2, 4 and 5 only
(b) 2, 3, 5, 6 and 7 only
(c) 1, 3, 4, 6 and 7 only
(d) 1, 2, 3, 4, 5, 6 and 7",C,"Core Concept: Solar storms (Coronal Mass Ejections and Solar Flares)
interact violently with the Earth's magnetosphere and ionosphere,
causing electromagnetic disturbances.

The Realistic Impacts:

1. GPS Failure: Ionospheric disturbances scatter radio signals, leading
to severe GPS degradation or failure.

3. Power Grids: Geomagnetically induced currents (GICs) can overload
high-voltage electrical transformers, causing massive blackouts (e.g.,
the 1989 Quebec blackout).

4. Auroras: Charged particles funneling down magnetic field lines
create brilliant auroras that can extend far beyond the poles during
severe storms.

6. Satellite Orbits: Extreme UV radiation heats and expands the
Earth's upper atmosphere, increasing atmospheric drag on Low Earth
Orbit (LEO) satellites, causing them to lose altitude.

7. Radio Blackouts: The influx of particles absorbs high-frequency
shortwave radio signals, severely impacting aviation communication over
the poles.

Applying Elimination:

2. Tsunamis (False): Tsunamis are geological events caused by
underwater earthquakes or landslides. Solar space weather does not
trigger tectonic shifts.

5. Forest Fires (False): The energy from a solar storm interacts with
magnetic fields; it does not translate into direct thermal heat striking
the Earth's surface to spontaneously combust forests globally.

Conclusion: By eliminating points 2 and 5, you easily arrive at the
correct answer (c).",Science and Tech,Space Technology
41,"""Climate Action Tracker"" which monitors the emission reduction
pledges of different countries is a :","(a) Database created by coalition of research organisations
(b) Wing of ""International Panel of Climate Change""
(c) Committee under ""United Nations Framework Convention on Climate Change""
(d) Agency promoted and financed by United Nations Environment Programme and World Bank",A,"Direct Answer: The Climate Action Tracker (CAT) is an
independent scientific analysis produced by a coalition of
research organizations.

Core Details: * Since 2009, CAT has been tracking climate
action and measuring it against the globally agreed Paris
Agreement aim of holding warming well below 2°C, and pursuing
efforts to limit warming to 1.5°C.

It is a collaboration between two European non-profit research
organizations: Climate Analytics and NewClimate
Institute.

Why others are wrong: It is entirely independent and is not an
official organ, wing, or committee of the IPCC, UNFCCC, UNEP, or
the World Bank.

UPSC Tip: Always be cautious of options that attribute
independent scientific or NGO initiatives to formal UN bodies.",Environment,Climate change
42,"Consider the following statements:

1.  ""The Climate Group"" is an international non-profit organization
that drives climate action by building large networks and runs
them.

2.  The International Energy Agency in partnership with the Climate
Group launched a global initiative ""EP100"".

3.  EP100 brings together leading companies committed to driving
innovation in energy efficiency and increasing competitiveness
while delivering on emission reduction goals.

4.  Some Indian companies are members of EP100.

5.  The International Energy Agency is the Secretariat to the ""Under2
Coalition"".
Which of the statements given above are correct?","(a) 1, 2, 4 and 5 (b) 1, 3 and 4 only (c) 2, 3 and 5 only (d) 1, 2, 3, 4 and 5",B,"Statement 1 is Correct: The Climate Group is an international
non-profit founded in 2004. It works with business and government
leaders around the world to address climate change.

Statement 2 is Incorrect: The EP100 initiative was launched by
The Climate Group in partnership with the Alliance to Save
Energy, not the International Energy Agency (IEA).

Statement 3 is Correct: EP100 stands for Energy
Productivity 100. It is a corporate commitment campaign where
companies pledge to double their energy productivity (generating
twice the economic output for every unit of energy consumed).

Statement 4 is Correct: Several prominent Indian corporations,
including Mahindra & Mahindra, Dalmia Cement, and UltraTech
Cement, are signatories and active members of the EP100 campaign.

Statement 5 is Incorrect: The Secretariat to the Under2
Coalition (a global community of state and regional governments
committed to ambitious climate action) is The Climate Group,
not the IEA.

Conclusion: Only statements 1, 3, and 4 are correct.",Environment,Climate change
43,"""If rainforests and tropical forests are the lungs of the Earth,
then surely wetlands function as its kidneys."" Which one of the
following functions of wetlands best reflects the above statement?","(a) The water cycle in wetlands involves surface runoff, subsoil percolation and evaporation.
(b) Algae form the nutrient base upon which fish, crustaceans, molluscs, birds, reptiles and mammals thrive.
(c) Wetlands play a vital role in maintaining sedimentation balance
(d) Aquatic plants absorb heavy metals and excess nutrients.",D,"Direct Answer: The human kidneys function as a filtration system
to remove toxins and excess waste from the blood. The function in
option (d) directly mimics this biological process.

Core Concept: Wetlands act as giant natural biological filters
for the ecosystem. As water moves through a wetland, the extensive
root systems of aquatic plants and the complex soil matrices trap
suspended sediments. More importantly, the aquatic flora and
microorganisms actively absorb, transform, and sequester heavy
metals, toxic pollutants, and excess agricultural nutrients (like
nitrogen and phosphorus).

Why others are wrong: While options (a), (b), and (c) describe
perfectly valid ecological roles of wetlands (hydrological cycle,
food web support, and erosion control), they do not correlate with
the specific metaphorical function of a ""kidney"" (filtration and
purification).",Geography,Physical geography
44,"In the context of WHO Air Quality Guidelines, consider the
following statements:

1.  The 24-hour mean of $PM_{2cdot5}$ should not exceed $15~mu
gm^{3}$ and annual mean should not exceed $5~mu gm^{3}$.

2.  In a year, the highest levels of ozone pollution occur during the
periods of inclement weather.

3.  $PM_{10}$ can penetrate the lung barrier and enter the
bloodstream.

4.  Excessive ozone in the air can trigger asthma.
Which of the statements given above are correct?","(a) 1, 3 and 4 (b) 1 and 4 only (c) 2, 3 and 4 (d) 1 and 2 only",B,"Statement 1 is Correct: In late 2021, the WHO dramatically
tightened its Global Air Quality Guidelines. For $PM_{2.5}$,
the recommended annual limit was reduced from 10 to $5~mu
gm^{3}$, and the 24-hour limit was reduced from 25 to
$15~mu gm^{3}$.

Statement 2 is Incorrect: Ground-level ozone is formed by
photochemical reactions between Oxides of Nitrogen (NOx) and
Volatile Organic Compounds (VOCs) in the presence of strong
sunlight. Therefore, ozone levels peak during hot, sunny, and
clear days, not during inclement (cloudy, rainy, or stormy)
weather.

Statement 3 is Incorrect: While $PM_{10}$ particles are small
enough to bypass the nose and throat and penetrate deep into the
lungs, they are generally too large to cross into the blood. It is
the much finer $PM_{2.5}$ particles (and ultrafine
particles) that can cross the lung barrier and enter the
bloodstream, causing cardiovascular issues.

Statement 4 is Correct: Ozone is a powerful oxidant that
irritates the airways. Excessive exposure can reduce lung
function, inflame the linings of the lungs, and trigger or worsen
respiratory conditions like asthma.

Conclusion: Only statements 1 and 4 are correct.",Environment,Pollution
45,"With reference to ""Gucchi"" sometimes mentioned in the news,
consider the following statements:

1.  It is a fungus.

2.  It grows in some Himalayan forest areas.

3.  It is commercially cultivated in the Himalayan foothills of
north-eastern India.
Which of the statements given above isare correct?",(a) 1 only (b) 3 only (c) 1 and 2 (d) 2 and 3,C,"Statement 1 is Correct: ""Gucchi"" is the local name for Morel
mushrooms (Morchella esculenta). Mushrooms belong to the
biological kingdom of Fungi.

Statement 2 is Correct: It is a highly prized wild mushroom that
naturally thrives in the temperate forests of the Himalayas. In
India, it is primarily foraged from the conifer forests of Jammu
and Kashmir, Himachal Pradesh, and Uttarakhand.

Statement 3 is Incorrect: Gucchi mushrooms cannot be farmed or
cultivated commercially due to their complex and highly specific
symbiotic relationship with the soil and certain trees. They only
sprout naturally in the wild, often stimulated by forest fires or
lightning strikes. Therefore, the claim of commercial cultivation
in NE India is false.

UPSC Context: Gucchi was in the news because a GI (Geographical
Indication) tag was sought for the Doda Gucchi Mushroom of Jammu &
Kashmir, which is one of the most expensive mushrooms in the
world.",Environment,Biodiversity
46,"With reference to polyethylene terephthalate, the use of which is
so widespread in our daily lives, consider the following statements:

1.  Its fibres can be blended with wool and cotton fibres to reinforce
their properties.

2.  Containers made of it can be used to store any alcoholic beverage.

3.  Bottles made of it can be recycled into other products.

4.  Articles made of it can be easily disposed of by incineration
     without causing greenhouse gas emissions.


Which of the statements given above are correct?",(a) 1 and 3 (b) 2 and 4 (c) 1 and 4 (d) 2 and 3,A,"Core Concept: Polyethylene terephthalate (PET) is the most
common thermoplastic polymer resin of the polyester family. When
used in textiles, it is known as polyester; when used for
packaging, it is known as PET.

Statement 1 is Correct: In the textile industry, PET fibres
(polyester) are routinely blended with natural fibres like cotton
(creating poly-cotton) or wool to reduce wrinkling, increase
durability, and improve the fabric's resistance to tearing.

Statement 2 is Incorrect: The extreme phrasing ""any alcoholic
beverage"" is a red flag. While PET is used for low-alcohol
drinks like beer in some countries, it is generally unsuited for
storing highly concentrated liquors over long periods, as the
strong alcohol acts as a solvent and can degrade the plastic,
leaching chemicals into the drink. Glass remains the standard.

Statement 3 is Correct: PET is the most widely recycled plastic
in the world (Resin identification code 1). Recycled PET (rPET) is
used to manufacture new bottles, carpets, clothing, and
construction materials.

Statement 4 is Incorrect: PET is derived from crude oil and
natural gas. Incinerating (burning) PET completely breaks down its
carbon structure, releasing massive amounts of Carbon Dioxide
($CO_2$)---a primary greenhouse gas---along with other
potential toxic byproducts depending on the combustion
temperature.

Conclusion: Only statements 1 and 3 are correct.",Environment,Pollution
47,Which of the following is not a bird?,"(a) Golden Mahseer
(b) Indian Nightjar
(c) Spoonbill
(d) White Ibis",A,"Direct Answer: The Golden Mahseer is not a bird; it is a
highly popular species of freshwater cyprinid fish found in
the Himalayan rivers and basins across India, Nepal, and Bhutan.

Context: It is famously known as the ""Tiger of Indian Rivers""
due to the fight it puts up for sport anglers. It has been a focus
of conservation efforts due to habitat loss and overfishing.

Why others are wrong: * The Indian Nightjar is a nocturnal
bird species native to the subcontinent.

The Spoonbill is a large wading bird characterized by its
large, flat, spatulate bill.

The White Ibis is a wading bird with a long, downward-curved
beak, commonly found near wetlands.

UPSC Tip: Brush up on flagship species (like the Mahseer, Great
Indian Bustard, Dugong, Pangolin) that frequently appear in Indian
environmental news.",Environment,Flora and Fauna
48,"Which of the following are nitrogen-fixing plants?

1.  Alfalfa

2.  Amaranth

3.  Chickpea

4.  Clover

5.  Purslane (Kulfa)

6.  Spinach


Select the correct answer using the code given below:","(a) 1, 3 and 4 only (b) 1, 3, 5 and 6 only (c) 2, 4, 5 and 6 only (d) 1, 2, 4, 5 and 6",A,"Core Concept: Nitrogen fixation is the process by which
atmospheric nitrogen ($N_2$) is converted into ammonia, making
it available for plants. This process is predominantly carried out
by symbiotic bacteria (like Rhizobium) residing in the root
nodules of leguminous plants (members of the peabean family,
Fabaceae).

Evaluating the Plants:

1. Alfalfa: A classic perennial forage legume, highly
effective at fixing nitrogen.

2. Amaranth: A leafy vegetable and pseudocereal. It is not a
legume and does not fix nitrogen.

3. Chickpea: Like all pulses and beans, chickpeas are
legumes and fix nitrogen.

4. Clover: A widely used legume in crop rotation to
naturally replenish soil nitrogen.

5. Purslane: A succulent, edible weed. Not a legume.

6. Spinach: A heavy feeder of soil nutrients, particularly
nitrogen. It does not fix its own.

Conclusion: Only the legumes---Alfalfa, Chickpea, and Clover (1,
3, and 4)---are nitrogen-fixing plants.",Environment,Flora and Fauna
49,"""Biorock technology"" is talked about in which one of the
following situations?","(a) Restoration of damaged coral reefs
(b) Development of building materials using plant residues
(c) Identification of areas for explorationextraction of shale gas
(d) Providing salt licks for wild animals in forestsprotected areas",A,"Direct Answer: Biorock technology (also known as mineral
accretion technology) is an innovative method used primarily for
the restoration and regeneration of damaged coral reefs.

How it Works: * The process involves passing a safe,
low-voltage electrical current through a submerged conductive
framework (usually steel wire mesh).

This electrolysis process causes dissolved minerals in seawater
(like calcium carbonate and magnesium hydroxide) to rapidly
precipitate and crystallize onto the structure.

The resulting white limestone coating is identical to the
natural substrate that reef-building corals create. Coral
fragments attached to these Biorock structures grow up to 5
times faster and exhibit remarkable resilience against
stressors like global warming (coral bleaching), poor water
quality, and ocean acidification.

Context: The Zoological Survey of India (ZSI) successfully
implemented this technology in the Gulf of Kachchh to restore
dying coral reefs, bringing the term into current affairs.",Environment,Marine Ecosystems 
50,"The ""Miyawaki method"" is well known for the:","(a) Promotion of commercial farming in arid and semi-arid areas
(b) Development of gardens using genetically modified flora
(c) Creation of mini forests in urban areas
(d) Harvesting wind energy on coastal areas and on sea surfaces",C,"Direct Answer: The Miyawaki method is a unique afforestation
technique pioneered by Japanese botanist Akira Miyawaki, utilized
primarily for the creation of dense mini-forests in urban
areas.

The Methodology:

It involves planting dozens of native species (indigenous to the
specific region) in the same area very close to one another
(typically 3 to 4 saplings per square meter).

Because the plants are packed so densely, they compete for
sunlight and grow upwards very rapidly rather than sideways.

Benefits: This method ensures that plant growth is 10 times
faster, resulting in a plantation that is 30 times denser than
usual. These micro-forests become entirely self-sustaining within
2 to 3 years and are highly effective urban carbon sinks that
biodiversity thrives in.

Indian Context: Civic bodies across Indian metropolitan cities
(like the BMC in Mumbai and the BBMP in Bengaluru) have widely
adopted this technique on small plots of barren land to quickly
ramp up urban green cover.",Environment,Climate change
