Q.No,Question,Options,Answer,Explanation
51,"Consider the following statements:

Statement-I: If the United States of America (USA) were to default on
its debt, holders of US Treasury Bonds will not be able to exercise
their claims to receive payment.

Statement-II: The USA Government debt is not backed by any hard assets,
but only by the faith of the Government.

Which one of the following is correct in respect of the above
statements?","(a) Both Statement-I and Statement-II are correct and Statement-II
explains Statement-I
(b) Both Statement-I and Statement-II are correct, but Statement-II
does not explain Statement-I
(c) Statement-I is correct, but Statement-II is incorrect
(d) Statement-I is incorrect, but Statement-II is correct",A,"Statement-I is correct: Sovereign debt is unique because it is issued by
a sovereign state. If the US government defaults, bondholders cannot
simply seize government assets or sue the government into liquidation to
recover their money, primarily due to the doctrine of sovereign
immunity.

Statement-II is correct and explains Statement-I: Since the end of the
Gold Standard, US Treasury Bonds are essentially ""fiat"" debt. They are
not backed by any tangible, hard assets like gold reserves. Their
intrinsic value and security rely entirely on the ""full faith and
credit"" and taxing power of the US Government.

Explanation: Because the debt is backed solely by faith (Statement-II),
a default fundamentally means that faith is broken. Since there are no
underlying hard assets functioning as collateral to be liquidated,
bondholders are left without a direct legal mechanism to enforce their
claims for payment (Statement-I). Therefore, (a) is the appropriate
answer."
52,"Consider the following statements:

Statement-I: Syndicated lending spreads the risk of borrower default
across multiple lenders.

Statement-II: The syndicated loan can be a fixed amount/lump sum of
funds, but cannot be a credit line.

Which one of the following is correct in respect of the above
statements?","(a) Both Statement-I and Statement-II are correct and Statement-II
explains Statement-I
(b) Both Statement-I and Statement-II are correct, but Statement-II
does not explain Statement-I
(c) Statement-I is correct, but Statement-II is incorrect
(d) Statement-I is incorrect, but Statement-II is correct

Answer: X",,"Note: This question was dropped from the final evaluation by UPSC
(marked as 'X' in the official answer key).

Statement-I is correct: Syndicated lending involves a group of lenders
(a syndicate) pooling their capital to fund a single, large loan for a
single borrower. This structure is specifically designed to allow banks
to spread and mitigate the risk of borrower default, preventing any
single institution from absorbing a catastrophic loss.

Statement-II is incorrect: Syndicated loans are highly flexible
financial instruments. While they can certainly be structured as a
traditional fixed lump-sum term loan, they are also routinely structured
as a revolving credit facility (a credit line), allowing the corporate
borrower to draw down, repay, and redraw funds as needed.

While standard logic points to option (c) as the answer, potential
phrasing ambiguities likely led the Commission to drop the question."
53,"Consider the following statements in respect of the digital rupee:

It is a sovereign currency issued by the Reserve Bank of India (RBI) in
alignment with its monetary policy.

It appears as a liability on the RBI's balance sheet.

It is insured against inflation by its very design.

It is freely convertible against commercial bank money and cash.

Which of the statements given above are correct?","(a) 1 and 2 only
(b) 1 and 3 only
(c) 2 and 4 only
(d) 1, 2 and 4",D,"Statements 1, 2, and 4 are correct: The Digital Rupee (e₹) is India's
Central Bank Digital Currency (CBDC). It is a sovereign fiat currency,
issued directly by the RBI as legal tender (1). Just like physical
banknotes, it represents a direct liability on the central bank's
balance sheet, making it distinct from private e-money (2). It is a
fungible digital form of the Rupee and is freely convertible 1:1 against
physical cash or existing commercial bank deposits (4).

Statement 3 is incorrect: A CBDC fundamentally operates exactly like its
physical fiat counterpart. Its value is tied entirely to the national
currency. Therefore, if inflation erodes the purchasing power of the
physical rupee, it equally erodes the purchasing power of the digital
rupee. It offers absolutely no structural design, yield, or mechanism to
insure against inflation (unlike inflation-indexed bonds or certain
commodities)."
54,"With reference to ancient India, Gautama Buddha was generally known
by which of the following epithets?

Nayaputta

Shakyamuni

Tathagata

Select the correct answer using the code given below:","(a) 1 only
(b) 2 and 3 only
(c) 1, 2 and 3
(d) None of the above are epithets of Gautama Buddha",B,"Shakyamuni (Statement 2 is correct): Siddhartha Gautama was born into
the Shakya clan of Kapilavastu. Following his spiritual awakening, he
was universally revered as the supreme sage (muni) of his clan, thereby
earning the famous epithet 'Shakyamuni'.

Tathagata (Statement 3 is correct): This is the term the Buddha most
frequently used to refer to himself in the Pali Canon. It generally
translates to ""one who has thus gone"" or ""one who has thus come,""
signifying a fully enlightened being who has realized the ultimate truth
and transcended the cycle of samsara.

Nayaputta (Statement 1 is incorrect): 'Nayaputta' (or Nigantha
Nataputta in Pali texts) was the contemporary title used to refer to
Vardhamana Mahavira, the 24th Tirthankara of Jainism. It indicates his
lineage from the Jnatrika (Naya) Kshatriya clan. Therefore, only 2 and 3
are correct."
55,"Consider the following information:

| Archaeological Site | State | Description |

|---|---|---|

| 1. Chandraketugarh | Odisha | Trading Port town |

| 2. Inamgaon | Maharashtra | Chalcolithic site |

| 3. Mangadu | Kerala | Megalithic site |

| 4. Salihundam | Andhra Pradesh | Rock-cut cave shrines |

In which of the above rows is the given information correctly matched ?","(a) 1 and 2
(b) 2 and 3
(c) 3 and 4
(d) 1 and 4",B,"Row 1 is incorrect: Chandraketugarh is indeed an important ancient
archaeological site and river port town renowned for its exquisite early
historic terracotta art. However, it is located in the Vidyadhari river
basin in West Bengal, not Odisha.

Row 2 is correct: Inamgaon is a major, extensively excavated farming
village and Chalcolithic (Copper Age) settlement located in Pune
district, Maharashtra. It is prominently associated with the Jorwe
culture.

Row 3 is correct: Mangadu, located in Kollam district of Kerala, is a
well-documented Megalithic site famous for its iron-age urn burials and
megalithic monuments.

Row 4 is incorrect: Salihundam is located in Srikakulam district of
Andhra Pradesh, but it is famous as an ancient hilltop site featuring
massive Buddhist Stupas and chaityas, not as a site of ""rock-cut cave
shrines"" (like those found at Ajanta or Ellora). Thus, only pairs 2 and
3 are correct."
56,"Who of the following rulers of medieval India gave permission to
the Portuguese to build a fort at Bhatkal?","(a) Krishnadevaraya
(b) Narasimha Saluva
(c) Muhammad Shah III
(d) Yusuf Adil Shah",A,"The correct answer is (a) Krishnadevaraya: The Portuguese arrived in
India primarily seeking control over the lucrative spice trade and
dominance of the Arabian Sea.

Historical Context: In 1510, the aggressive Portuguese Governor Afonso
de Albuquerque captured the strategic port of Goa from the Adil Shahi
Sultanate of Bijapur. To consolidate this victory and secure vital trade
routes, Albuquerque immediately sent an embassy to the Vijayanagara
Empire.

The Treaty of 1510: The reigning emperor, the great Krishnadevaraya of
the Tuluva dynasty, entered into a mutually beneficial treaty with the
Portuguese. He permitted them to build a fort and establish a factory at
Bhatkal (a major port in modern-day Karnataka). In exchange, the
Portuguese agreed to supply Vijayanagara exclusively with high-quality
Persian and Arabian warhorses---a critical military asset---thereby
depriving the rival Bijapur Sultanate of its cavalry supply."
57,"With reference to revenue collection by Cornwallis, consider the
following statements:

Under the Ryotwari Settlement of revenue collection, the peasants were
exempted from revenue payment in case of bad harvests or natural
calamities.

Under the Permanent Settlement in Bengal, if the Zamindar failed to pay
his revenues to the state, on or before the fixed date, he would be
removed from his Zamindari.

Which of the statements given above is/are correct?","(a) 1 only
(b) 2 only
(c) Both 1 and 2
(d) Neither 1 nor 2

Answer: X",,"Note: This question was dropped from evaluation by UPSC (marked 'X' in
the official key) due to an inherent historical inaccuracy in the
framing of the question.

The Flaw: The prompt explicitly asks to evaluate statements ""With
reference to revenue collection by Cornwallis.""

Evaluating the Statements: * Statement 2 correctly describes the strict
""Sunset Clause"" of the Permanent Settlement of Bengal (1793), which
was indeed introduced by Lord Cornwallis.

However, Statement 1 discusses the Ryotwari Settlement. The Ryotwari
system was conceptualized and implemented by Thomas Munro and Captain
Alexander Read, not Cornwallis. Furthermore, under Ryotwari, land
revenue demands were notoriously rigid, and peasants were rarely granted
remissions even during severe famines or bad harvests.

Because the question groups a non-Cornwallis system under a
Cornwallis-specific prompt, the question is fundamentally broken."
58,"Consider the following statements:

There are no parables in Upanishads.

Upanishads were composed earlier than the Puranas.

Which of the statements given above is/are correct?","(a) 1 only
(b) 2 only
(c) Both 1 and 2
(d) Neither 1 nor 2",B,"Statement 1 is incorrect: While the Upanishads are profound
philosophical treatises dealing with the nature of reality (Brahman) and
the self (Atman), they are rich in literary devices. They extensively
employ metaphors, profound dialogues, and engaging 'parables' to
impart esoteric spiritual knowledge. Classic examples include the
parable of the two birds sharing the same tree (Mundaka Upanishad), the
narrative of the boy Nachiketa confronting Death (Katha Upanishad), and
the story of Satyakama Jabala (Chandogya Upanishad).

Statement 2 is correct: Chronologically, the principal Upanishads form
the concluding portion of the Vedic corpus (Vedanta) and were composed
during the Later Vedic period, roughly between c. 800 BCE and 500 BCE.
The Puranas, conversely, represent later sectarian Hinduism; while they
contain ancient lore, they were codified into their current written,
classical formats much later, predominantly during the Gupta and
Post-Gupta eras (c. 300 CE -- 1000 CE). Therefore, only statement 2 is
correct."
59,"Consider the following statements:

India is a member of the International Grains Council.

A country needs to be a member of the International Grains Council for
exporting or importing rice and wheat.

Which of the statements given above is/are correct?","(a) 1 only
(b) 2 only
(c) Both 1 and 2
(d) Neither 1 nor 2",A,"Statement 1 is correct: India is indeed an active member of the
International Grains Council (IGC). The IGC is an intergovernmental
organization based in London that oversees the Grains Trade Convention,
aiming to foster international cooperation, market transparency, and
data sharing regarding the global grain trade.

Statement 2 is incorrect: Membership in the IGC is entirely voluntary
and is designed to promote policy coordination and food security
information sharing. It is absolutely not a mandatory regulatory
prerequisite or a licensing authority. Sovereign nations that are
non-members of the IGC are perfectly free to export or import rice,
wheat, and other agricultural commodities in the global market under WTO
rules or bilateral trade agreements."
60,"Which one of the following was the latest inclusion in the
Intangible Cultural Heritage List of UNESCO?","(a) Chhau dance
(b) Durga puja
(c) Garba dance
(d) Kumbh mela",C,"The correct answer is (c) Garba dance: In December 2023, the traditional
'Garba of Gujarat' was officially inscribed on the Representative List
of the Intangible Cultural Heritage (ICH) of Humanity by UNESCO. This
inscription occurred during the 18th session of the Intergovernmental
Committee held in Kasane, Botswana.

Context: Garba is a vibrant, ritualistic, and devotional dance performed
predominantly during the nine-day Hindu festival of Navaratri,
celebrating the feminine energy of Goddess Shakti. It marks India's
15th cultural element on this list.

Timeline of other options: Durga Puja in Kolkata was the immediately
preceding Indian entry, inscribed in 2021. The Kumbh Mela was added in
2017, and the Chhau dance (a semi-classical martial dance from eastern
India) was inscribed much earlier in 2010. Therefore, Garba is the
latest inclusion."
61,"Who was the Provisional President of the Constituent Assembly
before Dr. Rajendra Prasad took over?","(a) C. Rajagopalachari
(b) Dr. B.R. Ambedkar
(c) T.T. Krishnamachari
(d) Dr. Sachchidananda Sinha",D,"The French Practice: When the Constituent Assembly of India met for the
very first time on December 9, 1946, it lacked a formal president.
Following the established French parliamentary practice, the assembly
elected its oldest member as the temporary or provisional president.

Dr. Sachchidananda Sinha: Due to his seniority and immense respect among
the peers, Dr. Sachchidananda Sinha was chosen for this role. He
presided over the initial sessions and the swearing-in of the members.

Permanent Election: Two days later, on December 11, 1946, the Assembly
formally elected Dr. Rajendra Prasad as its permanent President and H.C.
Mukherjee as the Vice-President.

Peripheral Fact for UPSC: Sir B.N. Rau was appointed as the
Constitutional Advisor to the Assembly during this same foundational
period."
62,"With reference to the Government of India Act, 1935, consider the
following statements:

It provided for the establishment of an All India Federation based on
the union of the British Indian Provinces and Princely States.

Defence and Foreign Affairs were kept under the control of the federal
legislature.

Which of the statements given above is/are correct?","(a) 1 only
(b) 2 only
(c) Both 1 and 2
(d) Neither 1 nor 2",A,
63,"Which one of the following is a work attributed to playwright
Bhasa?","(a) Kavyalankara
(b) Natyashastra
(c) Madhyama-vyayoga
(d) Mahabhashya",C,"Bhasa's Legacy: Bhasa is one of the earliest and most celebrated
Sanskrit playwrights in ancient Indian literature, famously praised even
by Kalidasa in his play Malavikagnimitram.

The Trivandrum Plays: For centuries, his works were considered lost
until 1912, when scholar T. Ganapati Sastri discovered a manuscript
collection of 13 plays in Kerala. This collection included masterpieces
like Svapnavasavadattam, Pratijnayaugandharayana, and Madhyama-vyayoga.

Madhyama-vyayoga: This translates to ""The Middle One"" and is a one-act
play (Vyayoga) revolving around the reunion of Bhima (the middle
Pandava) with his demoness wife Hidimba and their son Ghatotkacha.

Why others are incorrect: * Kavyalankara is a foundational text on
Sanskrit poetics written by Bhamaha.

Natyashastra is the monumental ancient Indian treatise on the performing
arts, theater, dance, and music, attributed to Sage Bharata Muni.

Mahabhashya is the great commentary on Panini's grammar composed by
Patanjali."
64,"Sanghabhuti, an Indian Buddhist monk, who travelled to China at the
end of the fourth century AD, was the author of a commentary on:","(a) Prajnaparamita Sutra
(b) Visuddhimagga
(c) Sarvastivada Vinaya
(d) Lalitavistara",C,"Historical Context of Sanghabhuti: Sanghabhuti (often grouped with early
translators like Sanghadeva) was an erudite Buddhist monk from the
Kashmir/Gandhara region. He travelled to China during the late 4th
century CE (around 381 AD) during the turbulent Northern Dynasties
period.

His Work: He was instrumental in translating complex Indian Buddhist
texts into Chinese. His most notable scholarly contribution is his
rigorous translation and commentary on the Sarvastivada Vinaya.

The Sarvastivada School: This was a major early school of Buddhism
(categorized under Nikaya or 'Hinayana' Buddhism) that held strong
influence in North-Western India and Central Asia. Their Vinaya
(monastic code) was crucial for establishing proper monastic discipline
in early Chinese Buddhism.

Elimination: Visuddhimagga is the great Theravada compendium written by
Buddhaghosa in Sri Lanka (5th century), entirely unrelated to Chinese
transmission. Lalitavistara is a Mahayana sutra detailing the life of
Buddha. Prajnaparamita Sutras were famously translated by Kumarajiva
shortly after Sanghabhuti's time."
65,"Consider the following properties included in the World Heritage
List released by UNESCO:

Shantiniketan

Rani-ki-Vav

Sacred Ensembles of the Hoysalas

Mahabodhi Temple Complex at Bodhgaya

How many of the above properties were included in 2023?","(a) Only one
(b) Only two
(c) Only three
(d) All four",B,"The 2023 UNESCO Inscriptions: During the 45th session of the World
Heritage Committee held in Riyadh, Saudi Arabia in September 2023, India
successfully secured the inscription of two magnificent cultural
properties.

The Two Sites: 1. Shantiniketan: The university town in West Bengal,
founded by Nobel Laureate Rabindranath Tagore, was inscribed as India's
41st World Heritage Site.

2. Sacred Ensembles of the Hoysalas: The extraordinarily carved Hoysala
temples located in Belur, Halebidu, and Somanathapura in Karnataka were
inscribed as India's 42nd site.

Why the others are excluded: * Rani-ki-Vav (The Queen's Stepwell) in
Patan, Gujarat, was inscribed a decade earlier in 2014.

The Mahabodhi Temple Complex at Bodhgaya, where Lord Buddha attained
enlightenment, was inscribed much earlier in 2002.

Therefore, exactly two properties from the list were included in 2023."
66,"As per Article 368 of the Constitution of India, the Parliament may
amend any provision of the Constitution by way of:

Addition

Variation

Repeal

Select the correct answer using the code given below:","(a) 1 and 2 only
(b) 2 and 3 only
(c) 1 and 3 only
(d) 1, 2 and 3",D,"Constitutional Framework: Article 368 in Part XX of the Indian
Constitution grants constituent power to the Parliament, explicitly
detailing the scope and procedure for amending the Constitution.

Exact Phrasing of the Law: The language of Article 368(1) is highly
specific and legally comprehensive. It states: ""Notwithstanding
anything in this Constitution, Parliament may in exercise of its
constituent power amend by way of addition, variation or repeal any
provision of this Constitution in accordance with the procedure laid
down in this article.""

Breakdown of Terms: * Addition: Inserting entirely new articles or
schedules (e.g., adding Part IX for Panchayats).

Variation: Modifying or changing the text of an existing provision.

Repeal: Completely removing or deleting an existing constitutional
provision (e.g., repealing the Right to Property as a fundamental
right).

Because all three distinct legislative actions are explicitly enumerated
within the text of Article 368, the correct answer is (d)."
67,"Consider the following countries:

Italy

Japan

Nigeria

South Korea

South Africa

Which of the above countries are frequently mentioned in the media for
their low birth rates, or ageing population or declining population?","(a) 1, 2 and 4
(b) 1, 3 and 5
(c) 2 and 4 only
(d) 3 and 5 only",A,"The Global Demographic Shift: The modern world is experiencing a stark
demographic divide. While some regions are booming, many developed,
highly industrialized nations are facing severe demographic crises
characterized by shrinking workforces, collapsing birth rates, and
rapidly aging societies.

South Korea (4): Holds the alarming title of having the world's lowest
Total Fertility Rate (TFR), recently plunging below 0.8 children per
woman, prompting massive government panic and media coverage regarding
its impending population collapse.

Japan (2) & Italy (1): Both nations are standard textbook examples of
""super-aging"" societies. Japan routinely sells more adult diapers than
baby diapers, and Italy has the oldest population in Europe combined
with historically low birth rates, leading to abandoned rural towns.

Nigeria (3) & South Africa (5): Conversely, Sub-Saharan Africa is the
engine of global population growth. Nigeria, in particular, has a
booming, exceptionally young population and high fertility rates. Thus,
they do not fit the criteria of the question."
68,"Which of the following statements are correct in respect of a Money
Bill in the Parliament?

Article 109 mentions special procedure in respect of Money Bills.

A Money Bill shall not be introduced in the Council of States.

The Rajya Sabha can either approve the Bill or suggest changes but
cannot reject it.

Amendments to a Money Bill suggested by the Rajya Sabha have to be
accepted by the Lok Sabha.

 using the code given below:","(a) 1 and 2 only
(b) 2 and 3 only
(c) 1, 2 and 3
(d) 1, 3 and 4",C,"Statement 1 is correct: The Constitution delineates financial
legislative procedures clearly. Article 109 explicitly outlines the
""Special procedure in respect of Money Bills,"" while the subsequent
Article 110 provides the legal definition of what constitutes a Money
Bill.

Statement 2 is correct: A fundamental principle of Indian parliamentary
democracy is that the elected lower house controls the purse strings.
Article 109(1) mandates that a Money Bill shall not be introduced in the
Council of States (Rajya Sabha).

Statement 3 is correct: The Rajya Sabha has severely restricted powers
regarding Money Bills. It cannot reject or amend the bill outright. It
can only discuss it and return it to the Lok Sabha within 14 days with
its ""recommendations"" (suggested changes).

Statement 4 is incorrect: The Lok Sabha retains absolute supremacy over
financial legislation. It may choose to accept or completely reject all
or any of the recommendations made by the Rajya Sabha. If rejected, the
bill is deemed passed in its original form. Therefore, acceptance is not
mandatory."
69,"Which of the following is/are correctly matched in terms of
equivalent rank in the three services of Indian Defence forces ?

| Army | Airforce | Navy |

|---|---|---|

| 1. Brigadier | Air Commodore | Commander |

| 2. Major General | Air Vice Marshal | Vice Admiral |

| 3. Major | Squadron Leader | Lieutenant Commander |

| 4. Lieutenant Colonel | Group Captain | Captain |

Select the correct answer using the code given below","(a) 1 and 4
(b) 1 and 3
(c) 2, 3 and 4
(d) 3 only",D,"Understanding Officer Ranks: The Armed Forces maintain a strict
equivalence structure across the Army, Air Force, and Navy.

Row 3 is correct: The rank of Major in the Army is exactly equivalent to
a Squadron Leader in the Air Force and a Lieutenant Commander in the
Navy.

Why the others are wrong:

Row 1: A Brigadier (Army) equals an Air Commodore (Air Force), but their
Naval equivalent is a Commodore (a one-star officer rank), not a
Commander.

Row 2: A Major General (Army) equals an Air Vice Marshal (Air Force),
but their Naval equivalent is a Rear Admiral (a two-star rank). A Vice
Admiral is a three-star rank, equivalent to a Lieutenant General.

Row 4: A Lieutenant Colonel (Army) is equivalent to a Wing Commander
(not Group Captain) in the Air Force, and a Commander (not Captain) in
the Navy. (An Army Colonel equals a Group Captain and a Naval Captain).

Therefore, only Row 3 is correctly matched."
70,"The North Eastern Council (NEC) was established by the North
Eastern Council Act, 1971. Subsequent to the amendment of NEC Act in
2002, the Council comprises which of the following members?

Governor of the Constituent State

Chief Minister of the Constituent State

Three Members to be nominated by the President of India

The Home Minister of India

Select the correct answer using the code given below:","(a) 1, 2 and 3 only
(b) 1, 3 and 4 only
(c) 2 and 4 only
(d) 1, 2, 3 and 4",A,"Statutory Body: The North Eastern Council (NEC) is the nodal agency for
the economic and social development of the North Eastern Region,
established by an Act of Parliament in 1971.

The 2002 Amendment: This amendment was significant because it
restructured the council and officially added Sikkim as the 8th member
state.

Statutory Composition (Statements 1, 2 & 3): According to the exact text
of the amended NEC Act, the Council consists of the Governors and the
Chief Ministers of all the constituent states. Furthermore, Section 3 of
the Act explicitly states that the President of India shall nominate a
Chairman and ""three other members"" to the Council.

Why Statement 4 is technically excluded: While it is true that in
administrative practice, the President routinely nominates the Union
Home Minister to serve as the Chairman of the NEC, the statute itself
does not explicitly mandate ""The Home Minister of India"" as a
permanent ex-officio member by title. The Act merely delegates the power
of nomination to the President. Thus, based strictly on the text of the
Act, only 1, 2, and 3 are correct."
71,"How many Delimitation Commissions have been constituted by the
Government of India till December 2023?","(a) One
(b) Two
(c) Three
(d) Four",D,"Concept: Delimitation is the act of redrawing the boundaries of Lok
Sabha and State Assembly constituencies to represent changes in
population equally. Article 82 of the Constitution mandates the
reallocation of seats upon the completion of each census.

Historical Constitutions: To execute this immensely complex and
sensitive task, the Government of India enacts a Delimitation Act, under
which an independent, high-powered Delimitation Commission is set up.
Historically, this has been done exactly four times since independence:

Under the Delimitation Commission Act, 1952.

Under the Delimitation Commission Act, 1962.

Under the Delimitation Act, 1972.

Under the Delimitation Act, 2002.

Current Status: The 84th Constitutional Amendment Act of 2001 froze the
total number of existing seats in the Lok Sabha and State Assemblies
until the first census conducted after the year 2026, hence no further
nationwide commissions have been constituted up to 2023."
72,"The Constitution (71st Amendment) Act, 1992 amends the Eighth
Schedule to the Constitution to include which of the following
languages?

Konkani

Manipuri

Nepali

Maithili

Select the correct answer using the code given below:","(a) 1, 2 and 3
(b) 1, 2 and 4
(c) 1, 3 and 4
(d) 2, 3 and 4",A,"Evolution of the 8th Schedule: The Eighth Schedule to the Indian
Constitution lists the official languages of the Republic of India.
While it originally contained 14 languages, it has been amended three
times to accommodate linguistic diversity, bringing the current total to
22.

The 71st Amendment Act (1992): This specific constitutional amendment
officially recognized and added exactly three languages to the schedule:
Konkani, Manipuri, and Nepali. (Statements 1, 2, and 3).

Other Amendments for Context: * The 21st Amendment (1967) added Sindhi.

The 92nd Amendment (2003) added Bodo, Dogri, Maithili, and Santhali.
Since Maithili was added in 2003, it is the incorrect option here.
Therefore, (a) is the precise answer."
73,"Consider the following pairs:

| Party | Its Leader |

|---|---|

| 1. Bharatiya Jana Sangh | Dr. Shyama Prasad Mukherjee |

| 2. Socialist Party | C. Rajagopalachari |

| 3. Congress for Democracy | Jagjivan Ram |

| 4. Swatantra Party | Acharya Narendra Dev |

How many of the above are correctly matched?","(a) Only one
(b) Only two
(c) Only three
(d) All four",B,"Row 1 is correctly matched: The Bharatiya Jana Sangh (BJS), a prominent
Hindu nationalist political party that later evolved into the Bharatiya
Janata Party (BJP), was founded in 1951 by Dr. Shyama Prasad Mukherjee.

Row 2 is incorrectly matched: The Socialist Party traces its roots to
the Congress Socialist Party, and its ideological titans were
Jayaprakash Narayan, Ram Manohar Lohia, and Acharya Narendra Dev. C.
Rajagopalachari was firmly anti-socialist.

Row 3 is correctly matched: Congress for Democracy (CFD) was founded in
1977 by the veteran Dalit leader Jagjivan Ram, who dramatically resigned
from Indira Gandhi's cabinet just before the post-Emergency elections
and allied with the Janata Party.

Row 4 is incorrectly matched: The Swatantra Party was founded in 1959 by
C. Rajagopalachari. It stood for classical liberal principles, free
enterprise, and minimal state intervention, directly opposing Nehru's
socialist economic policies. Acharya Narendra Dev, a Marxist scholar,
belonged to the Socialist camp. Exactly two pairs are correct."
74,"Which of the following statements are correct about the
Constitution of India?

Powers of the Municipalities are given in Part IX A of the Constitution.

Emergency provisions are given in Part XVIII of the Constitution.

Provisions related to the amendment of the Constitution are given in
Part XX of the Constitution.

 using the code given below:","(a) 1 and 2 only
(b) 2 and 3 only
(c) 1 and 3 only
(d) 1, 2 and 3",D,"Statement 1 is correct: The 74th Constitutional Amendment Act of 1992
provided constitutional status to urban local bodies. To accommodate
this, a completely new Part IX-A (Part 9A) titled ""The Municipalities""
was inserted into the Constitution, detailing their constitution,
duration, and powers.

Statement 2 is correct: Part XVIII (Part 18) of the Indian Constitution
is dedicated exclusively to ""Emergency Provisions."" It encompasses
Articles 352 to 360, outlining the drastic powers granted to the Union
government during times of national peril, state constitutional failure,
or financial instability.

Statement 3 is correct: Part XX (Part 20) of the Constitution deals
solely with the ""Amendment of the Constitution."" It contains a single,
highly significant article---Article 368---which lays down the formal
procedure and constituent powers of the Parliament to amend the
document. Therefore, all statements accurately reflect the structural
organization of the Constitution."
75,"Which one of the following statements is correct as per the
Constitution of India?","(a) Inter-State trade and commerce is a State subject under the State
List.
(b) Inter-State migration is a State subject under the State List.
(c) Inter-State quarantine is a Union subject under the Union List.
(d) Corporation tax is a State subject under the State List.",C,"The Seventh Schedule: The Constitution divides legislative subjects into
three lists: the Union List (List I), the State List (List II), and the
Concurrent List (List III). Generally, matters requiring national
uniformity or involving cross-border coordination are placed in the
Union List.

Option (c) is correct: ""Inter-State quarantine"" (preventing the spread
of infectious diseases across state borders) is explicitly enumerated
under Entry 81 of the Union List. During the COVID-19 pandemic, this
entry gained significant legal relevance.

Why others are incorrect: * (a) ""Inter-State trade and commerce""
falls exclusively under the Union List (Entry 42). Intra-state trade is
a state subject.

(b) ""Inter-State migration"" is also explicitly found in the Union
List (Entry 81) alongside quarantine.

(d) ""Corporation tax"" is a major source of revenue that belongs
entirely to the central government. It is listed under Entry 85 of the
Union List, not the State List."
76,"Under which of the following Articles of the Constitution of India,
has the Supreme Court placed the Right to Privacy?","(a) Article 15
(b) Article 16
(c) Article 19
(d) Article 21",D,"The correct answer is (d) Article 21: In the landmark 2017 judgment of
Justice K.S. Puttaswamy (Retd.) v. Union of India, a historic nine-judge
bench of the Supreme Court unanimously held that the Right to Privacy is
a constitutionally protected fundamental right.

Core Concept: The Court ruled definitively that privacy is an intrinsic
part of the right to life and personal liberty guaranteed under Article
21 of the Constitution. It is also protected as a part of the core
freedoms guaranteed by Part III of the Constitution.

Why other options are incorrect: Article 15 deals with the prohibition
of discrimination on grounds of religion, race, caste, sex, or place of
birth. Article 16 deals with equality of opportunity in matters of
public employment. Article 19 guarantees six fundamental freedoms (like
speech and expression), but privacy specifically emanates most broadly
and fundamentally from the ""life and liberty"" clause of Article 21."
77,"What are the duties of the Chief of Defence Staff (CDS) as Head of
the Department of Military Affairs?

Permanent Chairman of Chiefs of Staff Committe

Exercise military command over the three Service Chiefs

Principal Military Advisor to Defence Minister on all tri-service
matters

Select the correct answer using the code given below:","(a) 1, 2 and 3
(b) 1 and 2 only
(c) 2 and 3 only
(d) 1 and 3 only",D,"Statement 1 is correct: The Chief of Defence Staff (CDS) is a four-star
general who acts as the Permanent Chairman of the Chiefs of Staff
Committee (COSC). This role is designed to ensure better coordination,
synergy, and jointness among the Army, Navy, and Air Force.

Statement 3 is correct: The CDS functions directly as the Principal
Military Advisor to the Defence Minister specifically on all tri-service
matters, streamlining civil-military relations and procurement.

Statement 2 is incorrect: A crucial aspect of the CDS mandate is that
while the CDS is the ""first among equals"" relative to the other
Service Chiefs, they explicitly do not exercise any direct military
command or operational control over the three Service Chiefs. The
individual Service Chiefs retain their operational commands over their
respective forces. Therefore, only 1 and 3 are correct duties."
78,"Operations undertaken by the Army towards upliftment of the local
population in remote areas to include addressing of their basic needs is
called:","(a) Operation Sankalp
(b) Operation Maitri
(c) Operation Sadbhavana
(d) Operation Madad",C,"The correct answer is (c) Operation Sadbhavana: Operation Sadbhavana
(Operation Goodwill) is a unique, long-term civic action program
launched by the Indian Army in the 1990s, primarily focused on the Union
Territories of Jammu & Kashmir and Ladakh, as well as parts of the North
East.

Core Objective: It aims to ""win hearts and minds"" by integrating the
remote and conflict-affected local population with the national
mainstream. Under this initiative, the army builds infrastructure, runs
Army Goodwill Schools, provides medical camps, and empowers women,
directly addressing basic human needs in isolated zones.

Other Operations: Operation Sankalp is an Indian Navy operation to
ensure the safety of Indian merchant vessels in the Gulf region.
Operation Maitri was a massive rescue and relief operation in Nepal
following the 2015 earthquake. Operation Madad was launched by the Navy
and armed forces for rescue efforts during the devastating 2018 Kerala
floods."
79,"The longest border between any two countries in the world is
between:","(a) Canada and the United States of America
(b) Chile and Argentina
(c) China and India
(d) Kazakhstan and Russian Federation",A,"The correct answer is (a): The international border between Canada and
the United States of America is the longest continuous international
border in the world.

Border Specifics: Officially known as the International Boundary, it
spans an incredible 8,891 kilometers (5,525 miles). This extensive
length includes the border shared with the contiguous US across the
Great Lakes and the 49th parallel, as well as the rugged border between
Canada and the US state of Alaska.

Other notable borders: The Kazakhstan-Russia border is the
second-longest continuous land border in the world (approx 6,846 km).
The Argentina-Chile border is the third-longest (approx 5,300 km),
running along the Andes mountains. The India-China border (Line of
Actual Control) is roughly 3,488 km, making it significantly shorter
than the North American boundary."
