S.No.,Question Text,Options,Answer,Explanation,Subject
29,"Consider the following:

1. Demographic performance

2. Forest and ecology

3. Governance reforms

4. Stable government

5. Tax and fiscal efforts 

For the horizontal tax devolution, the Fifteenth Finance Commission used how many of the above as criteria other than population area and income distance?","(a) Only two
(b) Only three
(c) Only four
(d) All five",B,"The direct answer: The correct answer is (b) as exactly three of the listed criteria (1, 2, and 5) were used by the 15th Finance Commission.
Core Constitutional Concept: Under Article 280 of the Indian Constitution, the Finance Commission formulates the formula for distributing net tax proceeds among the states (Horizontal Devolution). The 15th Finance Commission (chaired by N.K. Singh) finalized six objective criteria with specific weightages.
The Six Criteria:

1. Income Distance (45%)

2. Area (15%)

3. Population based on 2011 Census (15%)

4. Demographic Performance (12.5%) - To reward states that successfully controlled population growth (lower Total Fertility Rate).

5. Forest and Ecology (10%) - To compensate states for the opportunity cost of maintaining dense forest covers.

6. Tax and Fiscal Efforts (2.5%) - To reward states with higher tax collection efficiency.
Why others are wrong: ""Governance reforms"" and ""Stable government"" are highly subjective political metrics and were absolutely not part of the objective fiscal devolution formula.",economy
30,"Consider the following infrastructure sectors :

1. Affordable housing

2. Mass rapid transit

3. Health care

4. Renewable energy 

On how many of the above does UNOPS Sustainable Investments in Infrastructure and Innovation (S3i) initiative focus for its investments?","(a) Only one
(b) Only two
(c) Only three
(d) All four",C,"The direct answer: The correct answer is (c) because the UNOPS S3i initiative specifically targets three of the four listed sectors.
Core Concept: S3i (Sustainable Investments in Infrastructure and Innovation) is an initiative launched by the United Nations Office for Project Services (UNOPS). Its primary mandate is to crowd-in private capital to fund large-scale infrastructure projects in developing countries, accelerating progress toward the Sustainable Development Goals (SDGs).
The Three Pillar Focus: The S3i operational framework channels investments specifically into three high-impact core areas:
Affordable Housing: Creating sustainable and accessible living spaces.
Renewable Energy: Promoting clean, carbon-neutral power generation.
Health Care: Building resilient medical infrastructure.
Why Mass Rapid Transit is excluded: While Mass Rapid Transit (MRT) is a crucial aspect of sustainable urbanization, it is highly capital-intensive and historically managed by specific multilateral development banks (like the World Bank or ADB) rather than being the primary mandate of the UNOPS S3i portfolio.",science-tech
31,"In essence, what does 'Due Process of Law' mean?","(a) The principle of natural justice
(b) The procedure established by law
(c) Fair application of law
(d) Equality before law",C,"The direct answer: The correct answer is (c), Fair application of law, as per the official UPSC answer key.
Core Concept: The doctrine of ""Due Process of Law"" originated in the US Constitution. It essentially means that a law must not only be properly enacted but must also be inherently just, fair, and reasonable. It prevents the arbitrary deprivation of life, liberty, or property by ensuring the fair application of the law .
Versus Procedure Established by Law: ""Procedure established by law"" (found in Article 21 of the Indian Constitution) strictly checks if a law was enacted by the correct legislative procedure, even if the law itself is harsh. ""Due Process"" checks both the procedure and the substantive fairness of the law itself.
Indian Context: Following the landmark Maneka Gandhi v. Union of India (1978) case, the Supreme Court of India expansively interpreted Article 21 to implicitly include the 'Due Process of Law', ruling that any procedure depriving a person of life or personal liberty must be ""right, just and fair.""",polity
32,"Consider the following statements: 

Statement-I: In India, prisons are managed by State Governments with their own rules and regulations
for the day-to-day administration of prisons. 

Statement-II: In India, prisons are governed by the Prisons Act, 1894 which expressly kept the
subject of prisons in the control of Provincial Governments. 

Which one of the following is correct in respect of the above statements?","(a) Both Statement-I and Statement-II are correct and Statement-II is the correct explanation for Statement-I
(b) Both Statement-I and Statement-II are correct and Statement-II is not the correct explanation for Statement-I
(c) Statement-I is correct but Statement-II is incorrect
(d) Statement-I is incorrect but Statement-II is correct",A,"The direct answer: The correct answer is (a) as both statements are true, and Statement-II provides the historical and legal rationale for Statement-I.
Statement-I is correct: 'Prisons/persons detained therein' is a State subject under Entry 4 of List II (State List) of the Seventh Schedule to the Constitution of India . Therefore, the day-to-day administration and management of prisons lie exclusively with the respective State Governments through their specific Jail Manuals.
Statement-II is correct and explains Statement-I: The core legal framework governing prisons in India is the colonial-era Prisons Act of 1894. This Act expressly delegated the administrative power and control of prisons to the Provincial Governments (which are the modern-day State Governments). This statutory delegation is the exact reason why States manage prisons autonomously today.",polity
33,"Which one of the following statements best reflects the Chief
purpose of the 'Constitution' of a country?","(a) It determines the objective for the making of necessary laws.
(b) It enables the creation of political offices and a government.
(c) It defines and limits the powers of government.
(d) It secures social justice, social equality and social security.",C,"The direct answer: The correct answer is (c), It defines and limits the powers of government.
Core Concept of Constitutionalism: The foundational philosophy behind having a Constitution is to establish ""Constitutionalism"" or a Limited Government . While a constitution does create government structures and outlines goals, its chief and most indispensable purpose is to set clear boundaries on what the state can and cannot do.
Protection against Tyranny: By defining the scope and separation of powers among the legislature, executive, and judiciary, the Constitution prevents the arbitrary exercise of power, thereby protecting the fundamental liberties of the citizens.
Why other options fall short: Options (a), (b), and (d) are certainly functions or outcomes of a modern democratic constitution (like the DPSP in India securing social justice). However, historically and theoretically, the primary reason Constitutions were born (e.g., Magna Carta) was to limit the absolute power of rulers.",polity
34,"In India, which one of the following Constitutional Amendments was
widely believed to be enacted to overcome the judicial interpretations
of the Fundamental Rights?","(a) 1st Amendment
(b) 42nd Amendment
(c) 44th Amendment
(d) 86th Amendment",A,"The direct answer: The correct answer is (a), the 1st Constitutional Amendment Act of 1951.
Historical Context: Soon after the Constitution was adopted, the Indian government's agrarian reform and social justice legislations were struck down by the courts due to their strict interpretation of Fundamental Rights. To overcome these judicial roadblocks, the provisional Parliament enacted the 1st Amendment .
Key Interventions:
State of Madras v. Champakam Dorairajan (1951): The Supreme Court struck down caste-based reservations in education. The 1st Amendment added Article 15(4), explicitly empowering the state to make special provisions for socially and educationally backward classes.
Romesh Thappar v. State of Madras (1950): To overcome the Supreme Court's absolute interpretation of Free Speech, the amendment introduced ""reasonable restrictions"" under Article 19(2), including grounds like ""public order"" and ""friendly relations with foreign states.""
Right to Property: It introduced Article 31A, Article 31B, and the Ninth Schedule to protect land reform laws (abolition of Zamindari) from being challenged in courts on the grounds of violating Fundamental Rights.",polity
35,"Consider the following organizations/ bodies in India:

1. The National Commission for Backward Classes

2. The National Human Rights Commission

3. The National Law Commission

4. The National Consumer Disputes Redressal Commission 

How many of the above are constitutional bodies?","(a) Only one
(b) Only two
(c) Only three
(d) All four",A,"The direct answer: The correct answer is (a) as exactly one of the listed organizations is a constitutional body.
Core Concept: Constitutional bodies are institutions specifically mentioned in the text of the Constitution of India and derive their powers directly from it. Statutory bodies are created by an Act of Parliament .
Breakdown of Options:
1. National Commission for Backward Classes (NCBC): Constitutional. It was granted constitutional status by the 102nd Constitutional Amendment Act of 2018, which inserted Article 338B into the Constitution.
2. National Human Rights Commission (NHRC): Statutory. It was established under the Protection of Human Rights Act, 1993.
3. National Law Commission: Executive/Non-Statutory. It is an ad-hoc body constituted by an executive resolution of the Government of India (Ministry of Law and Justice), usually for a three-year term.
4. National Consumer Disputes Redressal Commission (NCDRC): Statutory. It is a quasi-judicial commission set up under the Consumer Protection Act.",polity
36,"Consider the following statements:

1. If the election of the President of India is declared void by the Supreme Court of India, all acts done by him/her in the performance of duties of his/her office of President before the date of decision become invalid.

2. Election for the post of the President of India can be postponed on the ground that some Legislative Assemblies have been dissolved and elections are yet to take place.

3. When a Bill is presented to the President of India, the Constitution prescribes time limits within which he/she has to declare his/her assent. 

How many of the above statements are correct?","(a) Only one
(b) Only two
(c) All three
(d) None",D,"The direct answer: The correct answer is (d) because all three statements are constitutionally incorrect.
Statement 1 is incorrect: Under Article 71(2) of the Indian Constitution, if the election of a person as President is declared void by the Supreme Court, the acts done by him in the exercise of his powers and duties prior to the date of the Supreme Court's decision are not invalidated and remain fully in force.
Statement 2 is incorrect: The 11th Constitutional Amendment Act of 1961 inserted Article 71(4), which categorically states that the election of the President cannot be challenged or postponed on the ground of any vacancy in the electoral college (for instance, if one or more state legislative assemblies are dissolved).
Statement 3 is incorrect: Article 111 deals with the President's assent to Bills. It simply states the President shall declare his assent or withhold it, but it conspicuously lacks any prescribed time limit within which he must act. This constitutional silence is what allows the Indian President to exercise a 'Pocket Veto'.",polity
37,"With reference to Finance Bill and Money Bill in the Indian
Parliament, consider the following statements:

1. When the Lok Sabha transmits Finance Bill to the Rajya Sabha, it can amend or reject the Bill.

2. When the Lok Sabha transmits Money Bill to the Rajya Sabha, it cannot amend or reject the Bill, it can only make recommendations.

3. In the case of disagreement between the Lok Sabha and the Rajya Sabha, there is no joint sitting for Money Bill, but a joint sitting becomes necessary for Finance Bill. 

How many of the above statements are correct?","(a) Only one
(b) Only two
(c) All three
(d) None",A,"The direct answer: The correct answer is (a) as only Statement 2 is correct.
Statement 1 is incorrect: In the context of the Union Budget, the 'Finance Bill' introduced to give effect to the government's tax proposals is certified as a Money Bill under Article 110. Consequently, the Rajya Sabha does not have the constitutional power to amend or reject it.
Statement 2 is correct: According to Article 109 of the Constitution, the Rajya Sabha has highly restricted legislative powers regarding a Money Bill. It cannot amend or reject it; it can only make recommendations and must return the bill to the Lok Sabha within a strict timeframe of 14 days.
Statement 3 is incorrect: While it is true that there is no provision for a joint sitting (Article 108) to resolve a deadlock over a Money Bill, the second part of the statement is legally flawed. For an ordinary Financial Bill, the President may summon a joint sitting in case of a deadlock, but it does not ""become necessary"" or mandatory. The President can simply choose to let the bill lapse.",polity
38,"Consider the following statements: Once the Central Government
notifies an area as a 'Community Reserve'

1. the Chief Wildlife Warden of the State becomes the governing authority of such forest

2. hunting is not allowed in such area

3. people of such area are allowed to collect non-timber forest produce

4. people of such area are allowed traditional agricultural practices

 How many of the above statements are correct?","(a) Only one
(b) Only two
(c) Only three
(d) All four",C,"The direct answer: The correct answer is (c) as exactly three statements (2, 3, and 4) are correct.
Statement 1 is incorrect: Under Section 36D of the Wildlife (Protection) Act, 1972, the governing and administrative authority for a Community Reserve is the 'Community Reserve Management Committee' (constituted by the State Government, consisting of representatives of the community), not the Chief Wildlife Warden of the State.
Statement 2 is correct: Regardless of the community participation aspect, once an area is legally declared a Community Reserve under the WPA, commercial or recreational hunting of wildlife is strictly prohibited.
Statement 3 and 4 are correct: Community Reserves are a flexible category of protected areas introduced to provide a legal framework for community-led conservation on private or community-owned lands. Therefore, the local people retain their traditional rights, including the collection of non-timber forest produce (NTFP) and the continuation of their traditional agricultural practices.",environment
39,"With reference to 'Scheduled Areas' in India, consider the
following statements:

1. Within a State, the notification of an area as Scheduled Area takes place through an Order of the President.

2. The largest administrative unit forming the Scheduled Area is the District and the lowest is the cluster of villages in the Block.

3. The Chief Ministers of the concerned States are required to submit annual reports to the Union Home Ministry on the administration of Scheduled Areas in the States. 

How many of the above statements are correct?","(a) Only one
(b) Only two
(c) All three
(d) None",B,"The direct answer: The correct answer is (b) as exactly two statements (Statement 1 and 2) are correct.
Statement 1 is correct: According to Paragraph 6 of the Fifth Schedule of the Indian Constitution, the specification of ""Scheduled Areas"" in relation to any State is made exclusively by a notified Order of the President of India. The President is also empowered to alter or rescind these boundaries.
Statement 2 is correct: Based on the criteria established by the Dhebar Commission (1960) and structurally followed by the Ministry of Tribal Affairs, a Scheduled Area must be a viable administrative entity. The largest such administrative unit is a District, and the lowest viable unit is a cluster of villages within a Block or Taluka.
Statement 3 is incorrect: Paragraph 3 of the Fifth Schedule mandates the Governor of the State (not the Chief Minister) to submit a report annually, or whenever required, regarding the administration of the Scheduled Areas directly to the President of India (not the Union Home Ministry).",polity
40,"Consider the following statements: 

Statement-I: The Supreme Court of India has held in some judgements that the reservation policies made
under Article 16(4) of the Constitution of India would be limited by Article 335 for maintenance of efficiency of administration.

Statement-II: Article 335 of the Constitution of India defines the term 'efficiency of administration'. 

Which one of the following is correct in respect of the above statements?","(a) Both Statement-I and Statement-II are correct and Statement-II is the correct explanation for Statement-I
(b) Both Statement-I and Statement-II are correct and Statement-II is not the correct explanation for Statement-I
(c) Statement-I is correct but Statement-II is incorrect
(d) Statement-I is incorrect but Statement-II is correct",C,"The direct answer: The correct answer is (c) because Statement-I is a correct legal interpretation, but Statement-II is factually incorrect.
Statement-I is correct: In landmark constitutional cases like Indra Sawhney (1992) and M. Nagaraj (2006), the Supreme Court of India consistently held that the state's power to provide reservations in public employment under Article 16(4) is not absolute. It must be balanced with, and limited by, the overarching mandate of Article 335, which requires that claims of SCs and STs be taken into consideration ""consistently with the maintenance of efficiency of administration.""
Statement-II is incorrect: While Article 335 prominently uses the phrase ""maintenance of efficiency of administration,"" it absolutely does not define what constitutes ""efficiency of administration."" The Constitution is entirely silent on its exact definition. This definitional vacuum was highlighted in the B.K. Pavitra II (2019) case, where the Supreme Court noted that administrative efficiency is not merely about securing high exam marks but must include broad social representation.",polity
41,"In which one of the following regions was Dhanyakataka, which
flourished as a prominent Buddhist centre under the Mahasanghikas,
located?","(a) Andhra
(b) Gandhara
(c) Kalinga
(d) Magadha",A,"The direct answer: The correct answer is (a), Andhra.
Geographical & Historical Context: Dhanyakataka (modern-day Amaravati) is located on the banks of the Krishna River in the Guntur district of Andhra Pradesh. It served as a prominent capital for the later Satavahana dynasty.
Buddhist Significance: The Mahasanghikas were an early Buddhist school that emerged after the first major schism in Buddhism. A prominent sub-sect of the Mahasanghikas, known as the Chaityakas, established their stronghold in Dhanyakataka and were instrumental in the construction of the magnificent Amaravati Stupa .
Peripheral Fact: The Mahasanghika school is often considered the ideological precursor to Mahayana Buddhism, as they deified the Buddha and believed in the concept of Bodhisattvas.",geography
42,"With reference to ancient India, consider the following statements:

1. The concept of Stupa is Buddhist in origin.

2. Stupa was generally a repository of relics.

3. Stupa was a votive and commemorative structure in Buddhist tradition. 

How many of the statements given above are correct?","(a) Only one
(b) Only two
(c) All three
(d) None",B,"The direct answer: The correct answer is (b) as exactly two statements (Statement 2 and 3) are correct.
Statement 1 is incorrect: The architectural and conceptual origin of the Stupa is pre-Buddhist (Vedic). The word 'Stupa' is mentioned in the Rig Veda referring to a raised mound of earth or the flaming fire. It originally started as a simple earthen burial mound. Buddhism later assimilated and monumentalized this practice.
Statement 2 is correct: Stupas were fundamentally built to serve as repositories for the sacred relics (ashes, teeth, hair) of the Buddha or his prominent disciples. These are categorized as Saririka (bodily) stupas.
Statement 3 is correct: Over time, the purpose of stupas expanded. They became Commemorative (built to commemorate events in the Buddha's life like his first sermon at Sarnath) and Votive (small stupas erected by pilgrims as offerings or to fulfill vows) .",art-culture
43,"With reference to ancient South India, Korkai, Poompuhar and
Muchiri were well known as","(a) capital cities
(b) ports
(c) centres of iron-and-steel making
(d) shrines of Jain Tirthankaras",B,"The direct answer: The correct answer is (b). These three were the most prominent maritime trading ports of the ancient Sangam age.
Korkai: This was the chief port of the Pandya dynasty, located near modern-day Tuticorin in Tamil Nadu. It was internationally renowned for its lucrative pearl fishery, attracting traders from Rome and Greece.
Poompuhar: Also known as Kaveripattinam, it was the principal port city of the early Chola kingdom, situated at the mouth of the Kaveri River. It was a bustling cosmopolitan hub, famously described in the Tamil epic Silappatikaram.
Muchiri (Muziris): Located on the Malabar Coast, this was the premier port of the Chera dynasty. Muziris was the heart of the Indo-Roman spice trade, exporting massive quantities of black pepper (""yavanapriya"" or the passion of the Greeks) to the Roman Empire .",geography
44,"Which one of the following explains the practice of
'Vattakirutal' as mentioned in Sangam poems?","(a) Kings employing women bodyguards
(b) Learned persons assembling in royal courts to discuss religious and philosophical matters
(c) Young girls keeping watch over agricultural fields and driving away birds and animals
(d) A king defeated in battle committing ritual suicide by starving himself to death",D,"The direct answer: The correct answer is (d).
Core Concept: 'Vattakirutal' (or Vadakkiruthal, which literally translates to ""fasting facing the North"") was a martial and code-of-honor tradition prevalent during the ancient Sangam age in South India.
The Tradition: According to the martial ethics detailed in Sangam literature (especially the Purananuru anthologies), if a king suffered a severe defeat in battle or received a wound on his back (which was considered the ultimate humiliation and a sign of cowardice), he would voluntarily seek to restore his honor through a ritualistic fast unto death.
Peripheral Fact: The defeated king would sit facing the north with his sword by his side and starve himself to death. It was considered such a noble act that often, his close commanders, ministers, and even friendly poets would join him in this mass suicide to show solidarity.",art-culture
45,"Consider the following dynasties:

1. Hoysala

2. Gahadavala

3. Kakatiya

4. Yadava 

How many of the above dynasties established their kingdoms in early eighth century AD?","(a) Only one
(b) Only two
(c) Only three
(d) None",D,"The direct answer: The correct answer is (d), None. All the listed dynasties are early medieval kingdoms that emerged significantly later than the early 8th century AD (700-750 AD).
Chronological Breakdown:
Hoysalas: Rose to prominence in the Karnataka region in the 11th century AD (founded by Nripa Kama II around 1026 AD) after the decline of the Western Chalukyas .
Gahadavalas: Established their rule over Kannauj and surrounding areas in the late 11th century AD (founded by Chandradeva around 1090 AD).
Kakatiyas: Emerged as a sovereign power from Warangal (Telangana) in the late 12th century AD under Prataparudra I (1163 AD).
Yadavas (of Devagiri): Became an independent and powerful empire in the Deccan only towards the late 12th century AD (founded by Bhillama V around 1187 AD).
UPSC Context: During the early 8th century AD, the political landscape of India was dominated by the tripartite struggle powers (Palas, Pratiharas, and Rashtrakutas) and the Chalukyas of Badami, not the dynasties mentioned in the options.",history
46,"With reference to ancient Indian History, consider the following
pairs: | Literary work | Author | | 1.
Devichandragupta | 1. Bilhana | | 2. Hammira-Mahakavya | 2.
Nayachandra Suri | | 3. Milinda-panha | 3. Nagarjuna | | 4.
Nitivakyamrita | 4. Somadeva Suri | 

How many of the above pairs are correctly matched?","(a) Only one
(b) Only two
(c) Only three
(d) All four",B,"The direct answer: The correct answer is (b) as exactly two pairs (Pair 2 and Pair 4) are correctly matched.
Pair 1 is incorrectly matched: Devichandraguptam is a famous Sanskrit political drama written by Vishakhadatta (who also wrote Mudrarakshasa), not Bilhana. (Bilhana is famous for Vikramankadevacharita).
Pair 2 is correctly matched: Hammira-Mahakavya is a 15th-century Sanskrit epic written by the Jain scholar Nayachandra Suri. It chronicles the heroic life and struggles of the Chauhan king Hammira Deva of Ranthambore against Alauddin Khalji.
Pair 3 is incorrectly matched: Milinda-panha (Questions of Milinda) is an ancient Pali text documenting the philosophical dialogue between the Indo-Greek King Menander I and the Buddhist sage Nagasena, not Nagarjuna. (Nagarjuna was a later Mahayana philosopher known for Madhyamaka philosophy).
Pair 4 is correctly matched: Nitivakyamrita (Nectar of the Science of Polity) is a renowned treatise on statecraft and ethics written by the 10th-century Jain monk Somadeva Suri.",history
47,"""Souls are not only the property of animal and plant life, but also of rocks, running water and many other natural objects not looked
on as living by other religious sects."" 

The above statement reflects one of the core beliefs of which one of the following religious sects of
ancient India?","(a) Buddhism
(b) Jainism
(c) Shaivism
(d) Vaishnavism",B,"The direct answer: The correct answer is (b), Jainism.
Core Philosophical Concept: The statement perfectly captures the Jain concept of Hylozoism or Animism. In Jain metaphysics, the universe is divided into Jiva (conscious soul) and Ajiva (unconscious matter). Jainism postulates that the entire world is literally alive; every rock, drop of water, gust of wind, and particle of fire harbors a distinct soul or life force (Ekendriya Jiva - one-sensed beings).
Link to Ahimsa: Because Jainism believes that souls are trapped in all elements of nature, their cardinal principle of Ahimsa (non-violence) is observed with extreme rigor. Monks sweep the path before walking and filter water to avoid harming the microscopic souls residing in them.
Why others are wrong: Early Buddhism explicitly denies the existence of a permanent soul (the doctrine of Anatta/Anatman). While Hindu traditions (Shaivism/Vaishnavism) see the divine presence in nature, the specific ontological categorization of rocks and water possessing individual, suffering souls is a uniquely Jain tenet.",history
48,"Who among the following rulers of Vijayanagara Empire constructed a
large dam across Tungabhadra River and a canal-cum-aqueduct several
kilometres long from the river to the capital city?","(a) Devaraya I
(b) Mallikarjuna
(c) Vira Vijaya
(d) Virupaksha",A,"The direct answer: The correct answer is (a), Devaraya I.
Historical Context: Devaraya I (reigned 1406--1422 AD) was a prominent king of the Sangama dynasty of the Vijayanagara Empire. Recognizing the acute water scarcity in his capital city, he undertook massive hydraulic engineering projects.
The Infrastructure Feat:
He constructed a massive dam across the Tungabhadra River (often referred to as the Haridra dam).
From this dam, he commissioned the building of an extensive canal-cum-aqueduct system that stretched for several kilometers to bring a continuous supply of fresh water directly into the capital city of Vijayanagara (Hampi).
This infrastructure dramatically boosted the agricultural output, relieved the water shortage in the city, and increased the kingdom's revenues.
Peripheral Fact: The Italian traveler Niccolo de Conti, who visited Vijayanagara during Devaraya I's reign, highly praised the city's fortification and these complex irrigation and water management networks.",geography
49,"Who among the following rulers of medieval Gujarat surrendered Diu
to Portuguese?","(a) Ahmad Shah
(b) Mahmud Begarha
(c) Bahadur Shah
(d) Muhammad Shah",C,"The direct answer: The correct answer is (c), Bahadur Shah.
The Historical Context: Sultan Bahadur Shah of Gujarat was facing a severe two-front threat in the early 1530s. He was facing an existential military threat from the expanding Mughal Empire under Emperor Humayun.
The Treaty of Bassein (1534): Desperate for naval and military assistance against the Mughals, Bahadur Shah allied with the Portuguese. He signed the Treaty of Bassein in 1534, surrendering Bassein (Vasai) and its dependencies to them, and subsequently allowed them to construct a formidable fortress in Diu.
The Betrayal: Once the Mughal threat receded (as Humayun had to return to Agra), Bahadur Shah realized the Portuguese were a permanent threat to his sovereignty and tried to limit their power. In 1537, he was invited onto a Portuguese ship off the coast of Diu for negotiations by the Portuguese Governor Nuno da Cunha, where a scuffle broke out, and Bahadur Shah was deceitfully murdered and thrown into the Arabian Sea.",geography
50,"By which one of the following Acts was the Governor General of
Bengal designated as the Governor General of India?","(a) The Regulating Act
(b) The Pitt\'s India Act
(c) The Charter Act of 1793
(d) The Charter Act of 1833",D,"The direct answer: The correct answer is (d), The Charter Act of 1833.
Core Concept (Centralization): The Charter Act of 1833 was the final and most decisive step towards the centralization of British administration in India.
Key Provisions:
It elevated the office of the 'Governor-General of Bengal' to the 'Governor-General of India', vesting in him all civil and military powers.
Consequently, Lord William Bentinck became the first official Governor-General of India.
It stripped the Governors of Bombay and Madras presidencies of their legislative powers, centralizing the law-making authority exclusively in the hands of the Governor-General in Council.
Why other options are wrong:
The Regulating Act (1773): This Act elevated the Governor of Bengal to the 'Governor-General of Bengal' (Lord Warren Hastings).
Pitt's India Act (1784): Established the dual system of control by creating the 'Board of Control' in London to oversee the political affairs of the East India Company.",history
51,"Consider the following statements in relation to Janani Suraksha
Yojana:

1. It is a safe motherhood intervention of the State Health Departments.

2. Its objective is to reduce maternal and neonatal mortality among poor pregnant women.

3. It aims to promote institutional delivery among poor pregnant women.

4. Its objective includes providing public health facilities to sick infants up to one year of age. 

How many of the statements given above are correct?","(a) Only one
(b) Only two
(c) Only three
(d) All four",B,"The direct answer: The correct answer is (b) as exactly two statements (Statement 2 and 3) are correct.
Statement 1 is incorrect: Janani Suraksha Yojana (JSY) is a 100% Centrally Sponsored Scheme implemented under the National Health Mission (NHM) by the Ministry of Health and Family Welfare, Government of India. It is not an exclusive intervention of the State Health Departments.
Statement 2 and 3 are correct: The core objective of JSY is to reduce maternal and neonatal mortality. It achieves this by promoting institutional delivery (delivering babies in health facilities rather than at home) among poor pregnant women by providing conditional cash assistance.
Statement 4 is incorrect: Providing free entitlements including public health facilities, drugs, consumables, and free transport to sick infants up to one year of age is the mandate of the Janani Shishu Suraksha Karyakaram (JSSK), which is a separate but complementary initiative to JSY.",geography
52,"Consider the following statements in the context of interventions
being undertaken under Anaemia Mukt Bharat Strategy:

1. It provides prophylactic calcium supplementation for pre-school children, adolescents and pregnant women.

2. It runs a campaign for delayed cord clamping at the time of childbirth.

3. It provides for periodic deworming to children and adolescents.

4. It addresses non-nutritional causes of anaemia in endemic pockets with special focus on malaria, hemoglobinopathies and fluorosis. 

How many of the statements given above are correct?","(a) Only one
(b) Only two
(c) Only three
(d) All four",C,"The direct answer: The correct answer is (c) as exactly three statements (2, 3, and 4) are correct.
Core Concept: The Anaemia Mukt Bharat (AMB) strategy follows a 6x6x6 framework (6 target beneficiaries, 6 interventions, and 6 institutional mechanisms) to reduce the prevalence of anaemia in India.
Statement 1 is incorrect: The strategy mandates prophylactic Iron and Folic Acid (IFA) supplementation across all targeted age groups, not calcium. Anaemia is primarily an iron-deficiency disorder.
Statement 2 is correct: One of the 6 key interventions is to run a campaign advocating for delayed umbilical cord clamping (by at least 3 minutes) at the time of childbirth. This practice significantly improves the infant's iron stores for the first few months.
Statement 3 is correct: Soil-transmitted helminths (parasitic worms) lead to nutrient loss and anaemia. Therefore, bi-annual mass deworming using Albendazole is a core intervention.
Statement 4 is correct: While nutritional deficiency is the primary cause, the AMB strategy specifically integrates measures to address non-nutritional causes of anaemia, such as malaria, hemoglobinopathies (like sickle cell anaemia), and fluorosis in endemic pockets.",geography
53,"Consider the following statements:

1. Carbon fibres are used in the manufacture of components used in automobiles and aircrafts.

2. Carbon fibres once used cannot be recycled. 

Which of the statements given above is/are correct?","(a) 1 only
(b) 2 only
(c) Both 1 and 2
(d) Neither 1 nor 2",A,"The direct answer: The correct answer is (a) because only Statement 1 is factually correct.
Statement 1 is correct: Carbon fibers are renowned for their exceptional strength-to-weight ratio. They are five times stronger than steel and twice as stiff, yet significantly lighter. Consequently, Carbon Fiber Reinforced Polymers (CFRPs) are extensively used in manufacturing components for modern aircraft (like fuselage and wings), Formula 1 racing cars, sports equipment, and wind turbine blades to improve fuel efficiency and performance.
Statement 2 is incorrect: It is factually wrong to say they cannot be recycled. While recycling carbon fiber composites is more complex and energy-intensive than recycling metals, commercial recycling methods do exist. Techniques such as Pyrolysis (thermal degradation), solvolysis (chemical recycling), and mechanical shredding are currently used to recover and reuse carbon fibers from end-of-life products.",geography
54,"Consider the following actions:

1. Detection of car crash/collision which results in the deployment of airbags almost instantaneously

2. Detection of accidental free fall of a laptop towards the ground which results in the immediate turning off of the hard drive

3. Detection of the tilt of the smartphone which results in the rotation of display between portrait and landscape mode 

In how many of the above actions is the function of accelerometer required?","(a) Only one
(b) Only two
(c) All three
(d) None",C,"The direct answer: The correct answer is (c) as all three actions intrinsically rely on the functionality of an accelerometer.
Core Concept: An accelerometer is an electromechanical sensor that measures proper acceleration (the rate of change of velocity) and dynamic forces like vibrations or static forces like gravity .
Application Breakdown:
1. Airbag deployment: In automobiles, accelerometers detect the sudden and massive deceleration (negative acceleration) caused by a crash and instantly trigger the explosive deployment of airbags.
2. Laptop free-fall: Laptops with traditional Hard Disk Drives (HDDs) utilize accelerometers as ""free-fall sensors"". Upon detecting the weightlessness of a free fall, the sensor signals the HDD to park its mechanical read/write heads off the platter to prevent physical data corruption upon impact.
3. Smartphone screen rotation: Accelerometers measure the static force of Earth's gravity to determine the exact 3D orientation and tilt of the smartphone, prompting the operating system to switch the screen orientation between portrait and landscape modes.",geography
55,"With reference to the role of biofilters in Recirculating
Aquaculture System, consider the following statements:

1. Biofilters provide waste treatment by removing uneaten fish feed.

2. Biofilters convert ammonia present in fish waste to nitrate.

3. Biofilters increase phosphorus as nutrient for fish in water. 

How many of the statements given above are correct?","(a) Only one
(b) Only two
(c) All three
(d) None",A,"The direct answer: The correct answer is (a) as only Statement 2 describes the true function of a biofilter.
Core Concept of RAS: Recirculating Aquaculture Systems (RAS) are closed-loop, land-based fish farming facilities that recycle and reuse water after treating it .
Statement 1 is incorrect: The removal of solid particulate wastes, such as suspended feces and uneaten fish feed pellets, is entirely the job of a Mechanical Filter (like a rotary drum filter), not the biological filter.
Statement 2 is correct: Fish naturally excrete Ammonia directly into the water, which is highly toxic to them even in small amounts. The essential role of the Biofilter is to house colonies of nitrifying bacteria. These bacteria biologically oxidize the toxic ammonia into nitrite, and subsequently into relatively harmless nitrate.
Statement 3 is incorrect: Biofilters do not generate or increase phosphorus to act as a nutrient for fish. In fact, phosphorus builds up from fish waste, and excess phosphorus must be managed or removed from the system to prevent water quality degradation.",economy
