Q.No,2,Options,Answer,Explanation,Difficulty,TimePeriod,Sub- Topic
43,"Consider the following statements regarding the Junagarh (Girnar) Inscription:

1. It contains inscriptions from Ashoka, Rudradaman I, and Skandagupta.

2. It is the earliest known long inscription written entirely in standard Sanskrit (Kavya style).

3. It mentions the construction of the Sudarshana Lake by Skandagupta's governor, Parnadatta.
How many of the statements given above are correct?

","(A) Only one
(B) Only two
(C) All three
(D) None",B,"Statement 1 is correct: The rock bears edicts of Ashoka, Rudradaman, and Skandagupta. Statement 2 is correct: Rudradaman's text is the first long chaste Sanskrit inscription. Statement 3 is incorrect: The lake was built by Pushyagupta (under Mauryas), not Skandagupta's governor.


Core Concepts: The Girnar rock serves as a multi-dynastic ledger, tracking the continuous public works efforts of rulers over 800 years.


Peripheral Facts: Skandagupta's governor Parnadatta merely repaired the dam centuries after its original construction.",HARD,Ancient,"Post-Mauryan/Gupta Period (Epigraphy/Junagarh Inscription)"
44,"Consider the following pairs of 16 Mahajanapadas and their core modern locations:

1. Gandhara - Rawalpindi/Peshawar

2. Vajji - Malwa and Madhya Pradesh

3. Anga - Munger and Bhagalpur (Bihar)

How many of the pairs given above are correctly matched?

","(A) Only one
(B) Only two
(C) All three
(D) None",B,"Pair 1 is correct: Gandhara was around Peshawar and Rawalpindi. Pair 2 is incorrect: Vajji was in Bihar (Vaishali); Malwa was Avanti. Pair 3 is correct: Anga was in eastern Bihar (Munger and Bhagalpur).


Core Concepts: The geographical distribution of Mahajanapadas dictated their economic strength; Magadha's control of eastern iron mines ensured its ultimate supremacy.


Peripheral Facts: Vajji was a powerful confederacy of eight clans, the most prominent being the Licchavis.",HARD,Ancient,"Mahajanapadas (Locations)"
45,"Consider the following statements about the political history of Magadha:

1. Bimbisara of the Haryanka dynasty was the first king to have a standing army (Sreniya).

2. The Nanda Dynasty was the first non-Kshatriya dynasty, founded by Mahapadma Nanda.

3. Shishunaga shifted the capital permanently from Pataliputra back to Rajgriha.

How many of the statements given above are correct?

","(A) Only one
(B) Only two
(C) All three
(D) None",B,"Statement 1 is correct: Bimbisara was the first to have a standing army (Sreniya). Statement 2 is correct: The Nandas were the first non-Kshatriya (Shudra) dynasty. Statement 3 is incorrect: Shishunaga's successor Kalasoka permanently shifted the capital to Pataliputra.


Core Concepts: Magadhan ascendancy was driven by ruthless political maneuvering, strategic capital locations, and unorthodox social mobility.


Peripheral Facts: Bimbisara utilized marriage alliances extensively to secure his borders before engaging in military conquests.",HARD,Ancient,"Pre-Mauryan Period (Rise of Magadha)"
46,"Consider the following rows regarding the Vakataka Dynasty:
    (Ruler)                            (Dynastic Lineage)                                            (Description)
1. Vindhyashakti                    Founder                                           Described as Dvija
2. Pravarasena I                    Nandivardhana                                Performed Ashvamedha and took Samrat title
3. Harisena                            Vatsagulma                                      Patronized Ajanta Caves

How many of the above rows are correctly matched?

","(A) Only one
(B) Only two
(C) All three
(D) None",C,"Row 1 is correct: Vindhyashakti founded the Vakatakas. Row 2 is correct: Pravarasena I uniquely claimed the title Samrat. Row 3 is correct: Harisena patronized the magnificent Ajanta caves.


Core Concepts: The Vakatakas were the paramount power in the Deccan, acting as allies to the Guptas to dominate central trade routes.


Peripheral Facts: Chandragupta II formed a marriage alliance with them by marrying his daughter Prabhavatigupta to Rudrasena II.",HARD,Ancient,"Post-Mauryan/Deccan Dynasties (Vakataka Dynasty)"
47,"With reference to the Pallava Dynasty, consider the following statements:
1. Narasimhavarman I defeated the Chalukyan King Pulakesin II and assumed the title 'Vatapikonda'.

2. The Ghatika of Kanchi was a renowned educational institution that attracted students across India.

3. The dynasty was finally overthrown by the Kalabhras, marking the beginning of the ""Dark Age"".

How many of the statements given above are correct?

","(A) Only one
(B) Only two
(C) All three
(D) None",B,"Statement 1 is correct: Narasimhavarman I killed Pulakesin II and took the title Vatapikonda. Statement 2 is correct: The Ghatika of Kanchi was a premier Brahmanical college. Statement 3 is incorrect: The Pallavas rose after ending the Kalabhra Dark Age, they were not overthrown by them.


Core Concepts: The Pallava-Chalukya conflict was a multi-generational war over control of the fertile Krishna-Tungabhadra doab.


Peripheral Facts: The Pallavas were ultimately overthrown by the rising power of the Imperial Cholas under Aditya I.",HARD,Ancient,"Ancient South India (Pallava Dynasty Political History)"
48,"Consider the following pairs of early medieval South Indian tax and labor terminologies:

1. Kadamai : A major form of land revenue assessed on the produce of the land.

2. Vetti : A forced labor tax extracted directly by the state, usually without wage compensation.

3. Magamai : A toll tax collected by merchant guilds on the transit of commercial goods.

How many of the pairs given above are correctly matched?

","(A) Only one pair
(B) Only two pairs
(C) All three pairs
(D) None of the pairs",C,"Pair 1 is correct: Kadamai was the primary form of land revenue assessed directly on the agricultural produce of the land during the Chola period. Pair 2 is correct: Vetti was a highly oppressive forced labor tax extracted directly by the state or local landlords from the peasants, almost always without any wage compensation. Pair 3 is correct: Magamai was a commercial transit toll or voluntary contribution collected by powerful merchant guilds on the transit of commercial goods.


Core Concepts: Early medieval South Indian states utilized an exhaustively complex taxation system covering everything from agricultural produce to looms, oil presses, and even marriage rituals to fund massive standing armies and temple construction.


Peripheral Facts: Inscriptions reveal hundreds of such tax terms, showing that the tax burden on the peasantry could be extremely high, occasionally leading to recorded local revolts or mass migrations of cultivators.",HARD,Ancient,"Early Medieval Period (Deccan & North Indian Dynasties)"
49,"Consider the following statements about the Imperial Cholas:

1. Rajaraja I built the Brihadeshwara temple at Tanjore.

2. Rajendra I marched to North India, defeated the Pala ruler Mahipala, and assumed the title Gangaikondachola.

3. The Cholas maintained a massive naval fleet, which they successfully used against the Srivijaya Empire.

How many of the statements given above are correct?

","(A) Only one
(B) Only two
(C) All three
(D) None",C,"Statement 1 is correct: Rajaraja I built the Brihadeshwara Temple. Statement 2 is correct: Rajendra I conquered up to the Ganges (Gangaikondachola). Statement 3 is correct: The Chola navy decisively subdued the Srivijaya empire.


Core Concepts: The Imperial Cholas combined aggressive militarism with unparalleled architectural patronage, creating a vast thalassocratic (maritime) empire.


Peripheral Facts: Rajendra I's naval expedition secured the vital Malacca Strait for Tamil merchant guilds.",HARD,Ancient,"Early Medieval South India (Imperial Cholas)"
50,"Consider the following rows regarding Gupta economic conditions:
    (Term)                         (Meaning)                               (Description)
1. Nivartana                   Land measure              Used for agricultural survey
2. Sarthavaha                Caravan leader             Part of the Vishaya Adhikarana
3. Dinara                        Copper coin                  Issued for daily barter

How many of the above rows are correctly matched?

","(A) Only one
(B) Only two
(C) All three
(D) None",B,"Row 1 is correct: Nivartana was a standard Gupta land measurement. Row 2 is correct: Sarthavaha was the caravan leader in district administration. Row 3 is incorrect: Dinara was a gold coin, not copper.


Core Concepts: Gupta urban administration uniquely incorporated powerful merchant representatives directly into the state machinery.


Peripheral Facts: Gupta silver coins were known as Rupakas, modeled heavily after Western Kshatrapa coinage.",HARD,Ancient,"Gupta Empire (Economy and Coinage)"
51,"With reference to the Kashmir dynasties mentioned in Kalhana’s Rajatarangini, consider the following statements:

1. The Karakota dynasty was founded by Durlabhavardhana, and its most famous ruler was Lalitaditya Muktapida.

2. Queen Didda, known for her ruthless political maneuvering, belonged to the Utpalas dynasty.

3. The Martand Sun Temple was constructed by the rulers of the Karakota dynasty.

How many of the statements given above are correct?

","(A) Only one
(B) Only two
(C) All three
(D) None",B,"Statement 1 is correct: Lalitaditya was the greatest Karakota ruler. Statement 2 is incorrect: Queen Didda belonged to the Lohara family lineage, not Utpala. Statement 3 is correct: The Martand Sun temple was built by the Karakotas.


Core Concepts: Kashmir functioned as a highly isolated but culturally vibrant kingdom, extensively chronicled in Kalhana's historically rigorous Rajatarangini.


Peripheral Facts: Kalhana's Rajatarangini is considered the first true historical text of India, relying on inscriptions and official documents.",HARD,Ancient," Early Medieval Period (Dynasties of Kashmir)"
52,"Consider the following pairs of ancient Indian terms and their meanings:

1. Aghanya - A cow not worthy to be killed in the Rigveda.

2. Nishka - A gold ornamental necklace/coin in the Rigvedic age.

3. Vratyastoma - A sacrifice performed to accept non-Aryans into the Aryan fold.

How many of the pairs given above are correctly matched?

","(A) Only one
(B) Only two
(C) All three
(D) None",C,"Pair 1 is correct: Aghanya highlights the inviolable status of cows in the Rigveda. Pair 2 is correct: Nishka evolved from a gold necklace to a currency unit. Pair 3 is correct: Vratyastoma assimilated non-Aryans into Vedic society.


Core Concepts: Vedic vocabulary reflects a society transitioning from pastoral nomadism (wealth in cows) to settled, stratified agricultural hierarchies.


Peripheral Facts: The cow was the standard unit of barter, and even priests were paid in cows and female slaves (Dasis).",HARD,Ancient," Vedic Period (Social and Ritual Terminology)"
53,"Consider the following statements about the Chalukyas of Badami:

1. Pulakesin II defeated Harshavardhana, as recorded in the Aihole inscription composed by Ravikirti.

2. The Chalukyas developed the Vesara style of architecture, a hybrid of Nagara and Dravida styles.

3. They rejected the employment of women in high administrative positions.

How many of the statements given above are correct?

","(A) Only one
(B) Only two
(C) All three
(D) None",B,"Statement 1 is correct: Pulakesin II halted Harsha's southern march. Statement 2 is correct: Badami Chalukyas pioneered the hybrid Vesara temple style. Statement 3 is incorrect: Chalukyan royal women (e.g., Vijaya Bhattarika) routinely held high administrative offices.


Core Concepts: The Deccan functioned as an architectural and administrative crucible, blending North Indian structural motifs with South Indian execution.


Peripheral Facts: Aihole is known as the cradle of Indian temple architecture due to its sheer concentration of early Chalukyan experiments.",HARD,Ancient,"Ancient South India (Chalukyas of Badami)"
54,"Consider the following rows detailing the Tripartite Struggle:
(Dynasty)                           (Ruler)                               (Region)
1. Palas                            Dharmapala              Ruled Eastern India
2. Pratiharas                     Vatsaraja                  Ruled Western India
3. Rashtrakutas                Dhruva                     Controlled the Deccan

How many of the above rows accurately reflect the initial participants and their territories in the struggle for Kannauj?

","(A) Only one
(B) Only two
(C) All three
(D) None",C,"Row 1 is correct: Dharmapala led the eastern Palas. Row 2 is correct: Vatsaraja led the western Pratiharas. Row 3 is correct: Dhruva led the southern Rashtrakutas.


Core Concepts: The Tripartite Struggle was a zero-sum, centuries-long war for Kannauj, which ultimately exhausted all three empires, opening India to Turkic invasions.


Peripheral Facts: Kannauj had replaced Pataliputra as the symbol of imperial sovereignty in North India following Harsha's reign.",HARD,Ancient," Early Medieval Period (The Tripartite Struggle)"
55,"With reference to the development of early medieval literature, consider the following statements:

1. Adbhut Sagara and Dana Sagara were written by the Sena king Ballal Sena.

2. The Charyapadas, mystic Buddhist poems, form the earliest literary work of the Bengali language, developing under Pala patronage.

3. Gita Govinda, dedicated to Vaishnavism, was composed by Jayadeva at the court of the Cholas.

How many of the statements given above are correct?

","(A) Only one
(B) Only two
(C) All three
(D) None",B,"Statement 1 is correct: Ballal Sena was a prolific author. Statement 2 is correct: The Pala-patronized Charyapadas are the root of Bengali literature. Statement 3 is incorrect: Jayadeva wrote Gita Govinda under the Sena dynasty, not the Cholas.


Core Concepts: The early medieval period saw the definitive decline of Sanskrit as a mass medium and the rapid ascent of regional vernacular literatures (Apabhramsha).


Peripheral Facts: The Palas were the last great imperial patrons of Buddhism in India, heavily funding universities like Vikramashila and Odantapuri.",HARD,Ancient,"Early Medieval Period (Literature and Patronage)"
56,"Consider the following statements regarding the Paramara Dynasty of Malwa:

1. King Bhoja founded the city of Bhojpur and established the Bhoj Shala, a center for Sanskrit learning in Dhar.

2. The dynasty was entirely eradicated by the Imperial Cholas in the 11th century.

3. The poet Padma Gupta wrote the biography Nava-Sahasanka-Charita for the Paramara king Sindhuraja.

How many of the statements given above are correct?

","(A) Only one
(B) Only two
(C) All three
(D) None",B,"Statement 1 is correct: King Bhoja established the Bhoj Shala university. Statement 2 is incorrect: Paramaras were defeated by Ala-ud-din Khalji, not Cholas. Statement 3 is correct: Padma Gupta authored the Nava-Sahasanka-Charita.


Core Concepts: Rajput dynasties were fiercely independent, highly cultured, but fatally hindered by internal rivalries, preventing unified resistance against the Delhi Sultanate.


Peripheral Facts: King Bhoja himself was a polymath who wrote extensively on architecture, poetry, and medicine.",HARD,Ancient," Early Medieval Period (Rajput Dynasties/Paramaras)"
57,"Consider the following rows regarding foreign travellers and their observations of ancient India:
    (Traveller)                          (Dynasty)                                     (About him)
1. Megasthenes                 Mauryan Empire                    Claimed no slavery existed in India
2. Fa-Hien                          Gupta Empire                        Noted the prevalence of untouchability (Chandalas)
3. Xuanzang                       Pushyabhuti                          Studied at Nalanda under Shilabhadra

How many of the above rows are correctly matched?

","(A) Only one
(B) Only two
(C) All three
(D) None
",C,"Row 1 is correct: Megasthenes erroneously claimed no slavery existed in Mauryan India. Row 2 is correct: Fa-Hien documented the extreme segregation of Gupta-era Chandalas. Row 3 is correct: Xuanzang studied Mahayana Buddhism at Harsha-era Nalanda.


Core Concepts: Foreign accounts are indispensable for cross-verifying indigenous texts, often revealing ground realities that court panegyrics intentionally ignored.


Peripheral Facts: Xuanzang's detailed account of Harsha's quinquennial assembly at Prayaga serves as a crucial document for understanding early medieval religious syncretism.",HARD,Ancient,"Ancient Indian History (Foreign Travellers' Accounts)"
58,Which of the following rulers of the Delhi Sultanate is credited with the introduction of the silver tanka and the copper jital as the standard currency of the empire?,"(A) Qutb-ud-din Aibak
(B) Shams-ud-din Iltutmish
(C) Alauddin Khalji
(D) Muhammad bin Tughlaq",B,"Direct Answer: Option B is correct. Shams-ud-din Iltutmish was the first Turkish ruler to introduce a purely Arabic coinage system, establishing the silver tanka and the copper jital as the standard currency.

Why the other options are wrong: Qutb-ud-din Aibak's reign was too short and unstable to reform currency. Alauddin Khalji is known for market control policies, not the founding currency. Muhammad bin Tughlaq is famous for his failed token currency, not the original tanka.

Core Concepts: The introduction of a standardized currency was a vital step in consolidating the administrative and economic independence of the Delhi Sultanate from its Central Asian origins.

Peripheral Facts: The standard weight of Iltutmish's silver tanka was approximately 175 grains. This weight and monetary standard served as the foundation for coinage in Northern India for centuries.",EASY,Medieval,Delhi Sultanate (Economy & Coinage)
59,The famous Moroccan traveler Ibn Battuta visited India and served as the Qazi (judge) of Delhi during the reign of which Sultan?,"(A) Alauddin Khalji
(B) Ghiyasuddin Tughlaq
(C) Muhammad bin Tughlaq
(D) Firoz Shah Tughlaq",C,"Direct Answer: Option C is correct. Ibn Battuta arrived in India in 1333 CE during the reign of Muhammad bin Tughlaq, who appointed him as the Qazi of Delhi.

Why the other options are wrong: Alauddin Khalji ruled much earlier. Ghiyasuddin was the founder of the Tughlaq dynasty. Firoz Shah Tughlaq ruled after Muhammad bin Tughlaq and was known for his orthodox policies and public works.

Core Concepts: Foreign travelers' accounts are indispensable sources for medieval Indian history. Ibn Battuta's travelogue, the Rihla, provides extensive details on the socio-economic conditions, the postal system, and the Sultan's eccentric projects.

Peripheral Facts: Muhammad bin Tughlaq later sent Ibn Battuta as his official envoy to the Mongol court in China, though a shipwreck delayed his journey significantly.",EASY,Medieval,Delhi Sultanate (Foreign Travelers)
60,"The Ashtapradhan, a council of eight ministers designed to assist in state administration, was a prominent feature of which medieval Indian empire?","(A) Vijayanagara Empire
(B) Maratha Empire
(C) Mughal Empire
(D) Bahmani Sultanate",B,"Direct Answer: Option B is correct. The Ashtapradhan was the ministerial council established by Chhatrapati Shivaji Maharaj to administer the Maratha Empire.

Why the other options are wrong: The Vijayanagara Empire had a council of ministers but not specifically the eight-member Ashtapradhan. The Mughals had a centralized bureaucracy led by the Wazir and Mir Bakhshi. The Bahmani Sultanate utilized a different administrative structure led by a Vakil-us-Saltanat.

Core Concepts: The Ashtapradhan system decentralized the administrative workload. The highest official was the Peshwa (Prime Minister), followed by the Amatya (Finance), and the Sachiv (Secretary).

Peripheral Facts: Unlike the later Peshwa era where the position became hereditary and supremely powerful, under Shivaji, these ministers were directly accountable to the King and their posts were strictly non-hereditary.",EASY,Medieval,Maratha Empire (Administration)
61,"Which great Vijayanagara emperor authored the Telugu masterpiece Amuktamalyada, a text dealing with statecraft and political administration?","(A) Harihara I
(B) Devaraya II
(C) Krishnadevaraya
(D) Achyuta Deva Raya",C,"Direct Answer: Option C is correct. Krishnadevaraya of the Tuluva dynasty authored the Amuktamalyada in Telugu.

Why the other options are wrong: Harihara I was a founder of the Sangama dynasty. Devaraya II was a great Sangama ruler known as Gajabetegara (hunter of elephants) but did not author this text. Achyuta Deva Raya was Krishnadevaraya's successor.

Core Concepts: The Vijayanagara period was a golden age for South Indian literature. The Amuktamalyada provides profound insights into the king's views on Dharma, the treasury, and the treatment of foreign merchants.

Peripheral Facts: Krishnadevaraya's court was adorned by the Ashtadiggajas (eight great poets), the most famous being Tenali Ramakrishna and Allasani Peddana.",EASY,Medieval,Vijayanagara Empire (Literature)
62,The Buland Darwaza at Fatehpur Sikri was constructed by Emperor Akbar to commemorate his decisive victory over which region?,"(A) Bengal
(B) Mewar
(C) Gujarat
(D) Deccan",C,"Direct Answer: Option C is correct. Akbar built the massive Buland Darwaza (Gate of Magnificence) to celebrate his swift and decisive conquest of the wealthy province of Gujarat in 1573.

Why the other options are wrong: Bengal was conquered later and did not prompt this specific monument. Mewar (Chittor) was a hard-fought campaign but not the reason for the gate. The Deccan campaigns primarily occurred late in his reign.

Core Concepts: The annexation of Gujarat was critical for the Mughal economy as it provided direct access to the lucrative western seaports (like Surat) and the thriving Indian Ocean trade network.

Peripheral Facts: Fatehpur Sikri was built as Akbar's new capital, heavily influenced by regional architectural styles, combining red sandstone with intricate Hindu and Jain corbeling techniques.",EASY,Medieval,Mughal Empire (Architecture)
63,Who among the following was the founder of the Bahmani Sultanate in the Deccan region?,"(A) Mahmud Gawan
(B) Alauddin Hasan Bahman Shah
(C) Firoz Shah Bahmani
(D) Yusuf Adil Shah",B,"Direct Answer: Option B is correct. Alauddin Hasan Bahman Shah (originally known as Hasan Gangu) founded the Bahmani Sultanate in 1347 by revolting against Muhammad bin Tughlaq.

Why the other options are wrong: Mahmud Gawan was an illustrious Prime Minister, not the founder. Firoz Shah Bahmani was a later, highly learned ruler of the dynasty. Yusuf Adil Shah founded the separate Adil Shahi dynasty of Bijapur after the Bahmani collapse.

Core Concepts: The Bahmani Sultanate emerged during the disintegration of the Delhi Sultanate's control over the Deccan, acting as the primary northern rival to the Hindu Vijayanagara Empire.

Peripheral Facts: The kingdom was initially divided into four primary provinces (Tarafs) with capitals at Gulbarga, Daulatabad, Berar, and Bidar to ensure effective military administration.",EASY,Medieval,Bahmani Sultanate (Political History)
64,"Consider the following pairs of administrative departments established during the Delhi Sultanate and their primary functions:
(Department)                       (Primary Function)
1. Diwan-i-Arz                   Military affairs and troop maintenance
2. Diwan-i-Bandagan        Management of royal slaves
3. Diwan-i-Mustakhraj       Charity and religious endowments

Which of the pairs given above are correctly matched?","(A) 1 and 2 only
(B) 2 and 3 only
(C) 1 and 3 only
(D) 1, 2, and 3",A,"Direct Answer: Option A is correct because pairs 1 and 2 are accurately matched to their respective functions, while pair 3 is incorrect.

Why the other options are wrong: Pair 3 is incorrectly matched. The Diwan-i-Mustakhraj was created by Alauddin Khalji to inquire into revenue arrears and collect dues from corrupt officials, not for charity. The department of charity was Diwan-i-Khairat.

Core Concepts: The administrative machinery of the Sultanate evolved as different rulers faced unique challenges. Balban created the Diwan-i-Arz to counter Mongol threats, while Firoz Shah Tughlaq established the Diwan-i-Bandagan.

Peripheral Facts: The head of the military department was known as the Ariz-i-Mumalik. Crucially, the Ariz was not the commander-in-chief of the army; the Sultan retained that absolute authority.",MEDIUM,Medieval,Delhi Sultanate (Administration)
65,"With reference to the Mughal Mansabdari system, consider the following statements:

1. The Zat rank determined the personal status and salary of the noble.

2. The Sawar rank indicated the exact number of cavalrymen and horses the noble was required to maintain.

3. The system was strictly hereditary, with titles automatically passing to the eldest son upon the Mansabdar's death.

Which of the statements given above is/are correct?","(A) 1 only
(B) 1 and 2 only
(C) 2 and 3 only
(D) 1, 2, and 3",B,"Direct Answer: Option B is correct because statements 1 and 2 accurately define the dual ranks of the Mansabdari system introduced by Akbar.

Why the other options are wrong: Statement 3 is entirely false. The Mansabdari system was strictly non-hereditary. Upon a Mansabdar's death, all his property and ranks escheated (reverted) to the state under the law of escheat (Zabti).

Core Concepts: The system was the steel frame of Mughal administration, integrating military commanders, civil bureaucrats, and provincial governors into a single unified hierarchy paid either in cash (Naqd) or land assignments (Jagirs).

Peripheral Facts: To prevent fraud in the Sawar rank, Akbar implemented the Dagh (branding of horses) and Chehra (descriptive roll of soldiers) systems originally pioneered by Alauddin Khalji.",MEDIUM,Medieval,Mughal Empire (Administration)
66,"The land revenue system known as Zabti or the Dahsala system, introduced during Akbar's reign, was primarily based on which of the following mechanisms?","(A) A flat tax of fifty percent levied uniformly across all agricultural lands regardless of fertility.
(B) Tax assessment based on a ten-year average of crop yields and market prices.
(C) Revenue farming where the highest bidding Zamindar was given the right to collect taxes.
(D) A system where the entire crop was physically divided between the state and the peasant on the threshing floor.",B,"Direct Answer: Option B is correct. The Dahsala system, formulated by Akbar's finance minister Raja Todar Mal, calculated state demand based on the average yield and prices of crops over the preceding ten years.

Why the other options are wrong: Option A resembles Alauddin Khalji's extreme taxation. Option C describes the ruinous Ijarah (revenue farming) system prevalent later in the 18th century. Option D describes the Batai or Galla-Bakhshi system.

Core Concepts: The Zabti system required meticulous land measurement using standardized bamboo strings with iron rings. Lands were categorized into Polaj, Parauti, Chachar, and Banjar based on their cultivation frequency.

Peripheral Facts: The state generally demanded one-third of the average produce, usually payable in cash, which heavily monetized the rural Mughal economy and forced peasants to sell their surplus in local markets.",MEDIUM,Medieval,Mughal Empire (Economy)
67,"Consider the following pairs of medieval Bhakti saints and their core philosophical doctrines:

(Saint)                           (Philosophy)
1. Ramanuja           Vishishtadvaita (Qualified Non-dualism)
2. Madhvacharya    Dvaita (Dualism)
3. Vallabhacharya    Shuddhadvaita (Pure Non-dualism)

Which of the pairs given above are correctly matched?","(A) 1 and 2 only
(B) 2 and 3 only
(C) 1 and 3 only
(D) 1, 2, and 3",D,"Direct Answer: Option D is correct as all three Bhakti saints are perfectly matched to their respective Vedanta philosophical schools.

Why the other options are wrong: No options are factually incorrect regarding the matching; eliminating any pair would be historically inaccurate.

Core Concepts: The Bhakti movement in medieval India saw philosophers challenging Adi Shankara's strict Advaita (Absolute Non-dualism). They argued that devotion to a personal God (Saguna Brahman) was superior to meditating on a formless entity.

Peripheral Facts: Ramanuja argued that the soul retains its distinct identity even after uniting with Brahman. Vallabhacharya's philosophy heavily influenced the Pushtimarg sect, emphasizing grace and deep devotion to Lord Krishna.",MEDIUM,Medieval,Bhakti Movement (Philosophy)
68,"With reference to the administration of Sher Shah Suri, the local administrative unit known as Pargana was primarily managed by which of the following officials?","(A) Amalguzar and Faujdar
(B) Shiqdar and Munsif
(C) Wazir and Mir Bakhshi
(D) Kotwal and Muqaddam",B,"Direct Answer: Option B is correct. In Sher Shah Suri's administration, the Pargana (sub-district) was headed by a Shiqdar (responsible for law and order) and a Munsif (responsible for revenue collection).

Why the other options are wrong: Amalguzar and Faujdar were prominent officials at the Sarkar (district) level in the later Mughal administration. Wazir and Mir Bakhshi were central ministers. Kotwal was the city police chief, and Muqaddam was the village headman.

Core Concepts: Sher Shah Suri's brief but highly efficient administrative structure served as the direct blueprint for Akbar's later imperial organization, particularly in terms of land revenue and local governance.

Peripheral Facts: Sher Shah also standardized the currency by introducing a silver coin called the Rupiya, weighing 178 grains, heavily curbing the rampant debasement of currency from previous eras.",MEDIUM,Medieval,Suri Dynasty (Administration)
69,"Consider the following statements regarding the Chisti Sufi silsila in India:

1. It was established in India by Khwaja Muinuddin Chisti, who settled in Ajmer.

2. The Chisti saints actively sought powerful political positions and accepted vast land grants (Jagirs) from the Delhi Sultans.

3. They popularized the practice of Sama (musical recitations) to induce a state of spiritual ecstasy.

Which of the statements given above are correct?","(A) 1 and 2 only
(B) 1 and 3 only
(C) 2 and 3 only
(D) 1, 2, and 3",B,"Direct Answer: Option B is correct because statements 1 and 3 accurately reflect the traditions of the Chisti order, while statement 2 is completely incorrect.

Why the other options are wrong: Statement 2 is false because the early Chisti saints deliberately distanced themselves from the state. They refused political appointments, rejected state land grants, and preferred to live in poverty, relying purely on unsolicited charity (Futuh).

Core Concepts: The Chisti order was the most popular Sufi silsila in India because of its ascetic lifestyle, use of local Hindavi language, and musical inclusivity, which appealed heavily to the common masses.

Peripheral Facts: In stark contrast, the Suhrawardi silsila (dominant in Multan) actively associated with the state, accepted high political offices, and believed that wealth did not hinder spiritual progress if used for charity.",MEDIUM,Medieval,Sufism (Chisti Silsila)
70,Which of the following Sikh Gurus was responsible for the compilation of the Adi Granth and was later executed by the Mughal Emperor Jahangir?,"(A) Guru Angad
(B) Guru Ram Das
(C) Guru Arjan Dev
(D) Guru Tegh Bahadur",C,"Direct Answer: Option C is correct. Guru Arjan Dev, the fifth Sikh Guru, compiled the Adi Granth in 1604 and was executed by Emperor Jahangir in 1606.

Why the other options are wrong: Guru Angad standardized the Gurmukhi script. Guru Ram Das founded the city of Amritsar. Guru Tegh Bahadur, the ninth Guru, was executed later by Emperor Aurangzeb.

Core Concepts: The compilation of the Adi Granth gave the Sikh community a definitive holy scripture, solidifying their distinct religious identity separate from Hindu and Islamic orthodoxies.

Peripheral Facts: Jahangir ordered Guru Arjan Dev's execution primarily because the Guru had allegedly offered blessings and financial support to Jahangir's rebellious son, Prince Khusrau.",MEDIUM,Medieval,Sikhism (History)
71,The Iqta system of the Delhi Sultanate was essentially:,"(A) A hereditary title of nobility granted to elite Afghan warlords.
(B) A system of assigning the revenue of a specific territory to a military commander in lieu of a cash salary.
(C) A religious tax levied exclusively on non-Muslims for protection.
(D) A market regulation system designed to control the prices of essential commodities.",B,"Direct Answer: Option B is correct. The Iqta was a territorial assignment given to military commanders (Iqtadars or Muqtis), from which they collected revenue to maintain their troops and their own salary.

Why the other options are wrong: Option A is wrong because early Iqtas were strictly transferable and non-hereditary. Option C refers to the Jizya. Option D refers to Alauddin Khalji's market control policies.

Core Concepts: The Iqta system was the administrative foundation of the Sultanate's expansion. It allowed the state to maintain a massive standing army without a fully monetized central treasury, pushing the burden of troop maintenance onto regional commanders.

Peripheral Facts: The Muqtis were required to send the surplus revenue (Fawazil) back to the central treasury after deducting their approved expenses. Firoz Shah Tughlaq later weakened the state by making the Iqta system hereditary.",MEDIUM,Medieval,Delhi Sultanate (Administration)
72,"Which major architectural feature, characterized by the inlay of precious and semi-precious stones into white marble, became highly prominent during the reign of Shah Jahan?","(A) Arabesque stucco carving
(B) True Arch and Dome
(C) Pietra Dura
(D) Batter (Sloping walls)",C,"Direct Answer: Option C is correct. Pietra Dura (known locally as Parchin Kari) is the technique of inlaying highly polished, colored stones into marble to create intricate floral and geometric patterns, heavily used in the Taj Mahal.

Why the other options are wrong: Arabesque was used since the Sultanate period. The True Arch was perfected during the Khalji era. Batter (sloping walls) was a defining feature of the Tughlaq architectural style.

Core Concepts: Shah Jahan's reign represents the zenith of Mughal architecture, marked by a shift from the robust red sandstone structures of Akbar to delicate, highly ornate white marble monuments.

Peripheral Facts: One of the earliest and finest examples of Pietra Dura in India is the tomb of Itmad-ud-Daulah in Agra, commissioned by Nur Jahan during Jahangir's reign, acting as a transitional structure to Shah Jahan's style.",MEDIUM,Medieval,Mughal Empire (Architecture)
